,MDI (Impureza),Permutation,Grupo
so2_ma_150d_shift_21d,0.011146819024154802,0.004106747003337811,Poluentes
lag_3,0.009318719452158836,0.0032876143063655643,Lags da série
no2_lag0,0.009456853425096787,0.0030930921874528393,Poluentes
lag_28,0.00849687467979914,0.002729102159116792,Lags da série
lag_14,0.04846778659637796,0.0020011392284876215,Lags da série
rolling_mean_30,0.0192321626497038,0.0017052718818376888,Médias/Desvios móveis
rolling_std_7,0.007119075200030476,0.0016541295636026613,Médias/Desvios móveis
lag_21,0.009836870870972424,0.0010864553124141215,Lags da série
ur_ma_60d_shift_1d,0.006681438448271906,0.0008221159928590775,Umidade
o3_ma_120d_shift_1d,0.006909678878982059,0.0007542065781914668,Poluentes
lag_30,0.007055550729807144,0.000592652096721243,Lags da série
semana_epidemiologica,0.004730494677754855,0.000166960750364827,Calendário/Sazonalidade
dia_semana,0.03692094548103296,0.00010380266808927748,Calendário/Sazonalidade
dummy_periodo_pico_sazonal,0.00021859786000337362,3.560506384398347e-05,Calendário/Sazonalidade
estacao,0.0007161509136800981,-0.00022340342718128644,Calendário/Sazonalidade
mes,0.0014689642822318181,-0.00022546285883133047,Calendário/Sazonalidade
no_ma_30d_shift_1d,0.0053326260514858104,-0.0008073695072729,Poluentes
fim_de_semana,0.03181022883453828,-0.0011348429937584116,Calendário/Sazonalidade
pm2_5_ma_30d_shift_1d,0.008257175317888334,-0.001221991699458158,Poluentes
nox_ma_21d_shift_1d,0.006229763749430243,-0.0012532480441564075,Poluentes
lag_2,0.008623004549633651,-0.002030867332030084,Lags da série
lag_1,0.01483710629255288,-0.0020492869608612335,Lags da série
co_ma_120d_shift_1d,0.011252910856631349,-0.002511664180857072,Poluentes
rolling_std_30,0.01977577740801205,-0.004409552657818949,Médias/Desvios móveis
lag_365,0.012153719463782681,-0.006131532228259099,Lags da série
temp_ma_14d_shift_1d,0.006833274154909212,-0.009251024094006273,Temperatura
rolling_mean_7,0.26042262197445654,-0.009352934728281071,Médias/Desvios móveis
lag_7,0.29687575712962605,-0.011003381767958823,Lags da série
rolling_mean_14,0.12981905104699445,-0.014989250045353704,Médias/Desvios móveis
