,Permutation,Nativa (modelo),Grupo
dia_semana,0.034204218247877866,0.018187825,Calendário/Sazonalidade
rolling_mean_7,0.009594945482827518,0.1394645,Médias/Desvios/Diffs móveis
lag_7,0.00537820709076465,0.19105275,Lags da série
sin_ano,0.004038785487197092,0.0052413214,Calendário/Sazonalidade
rolling_mean_14,0.002250586417252918,0.06480219,Médias/Desvios/Diffs móveis
lag_14,0.001938743775994184,0.07919018,Lags da série
fim_de_semana,0.0017291014341324906,0.017617585,Calendário/Sazonalidade
rolling_max_7,0.001704974876046165,0.058440503,Médias/Desvios/Diffs móveis
pm10_ma_30d_shift_1d,0.0016029955914672656,0.0030778244,Poluentes
no2_lag0,0.0011338553795246212,0.003702651,Poluentes
lag_3,0.0007856279174221603,0.0027947256,Lags da série
lag_1,0.000774889250088312,0.010842807,Lags da série
cos_ano,0.0005699237464871868,0.004313101,Calendário/Sazonalidade
lag_2,0.0004559958968578822,0.003916359,Lags da série
nox_ma_21d_shift_1d,0.000402079699910544,0.0028460133,Poluentes
rolling_std_7,0.0003723863940175209,0.0029051916,Médias/Desvios/Diffs móveis
rolling_std_30,0.00032039760105888603,0.02135242,Médias/Desvios/Diffs móveis
diff_30,0.0002355050051834932,0.0029715376,Médias/Desvios/Diffs móveis
mes,0.0001320570916099088,0.0034603588,Calendário/Sazonalidade
lag_21,3.328479702169318e-05,0.010600317,Lags da série
no_ma_30d_shift_1d,3.28552834957622e-05,0.0025176045,Poluentes
bloco_2016_2018,0.0,0.0033543524,Regime/Extremos
bloco_2012_2013,0.0,0.0,Regime/Extremos
bloco_2014_2015,0.0,0.0012410284,Regime/Extremos
ur_ma_60d_shift_1d,0.0,0.002642704,Umidade
dummy_extremo_positivo,0.0,0.0,Regime/Extremos
dummy_extremo_negativo,0.0,0.0,Regime/Extremos
pm2_5_ma_30d_shift_1d,-1.5547544033787477e-05,0.0026243695,Poluentes
semana_epidemiologica,-2.277755132113109e-05,0.0038967766,Calendário/Sazonalidade
dummy_periodo_pico_sazonal,-4.213485976848156e-05,0.008006212,Calendário/Sazonalidade
co_ma_120d_shift_1d,-5.0963165853721666e-05,0.009165194,Poluentes
estacao,-0.0001239039799938335,0.0036336735,Calendário/Sazonalidade
no_no2_ratio,-0.0001362048113047576,0.002488383,Poluentes
temp_x_ur,-0.00019169446710428083,0.0025136182,Interações atmosféricas
lag_30,-0.0002054627439341705,0.0021517193,Lags da série
rolling_sum_30,-0.00021271354845982712,0.055393644,Médias/Desvios/Diffs móveis
rolling_mean_30,-0.0002789738586749598,0.020623988,Médias/Desvios/Diffs móveis
o3_ma_120d_shift_1d,-0.00029502444543612983,0.0027689363,Poluentes
diff_1,-0.0004048657919902295,0.0021886572,Médias/Desvios/Diffs móveis
diff_7,-0.0004497787636025282,0.001931369,Médias/Desvios/Diffs móveis
rolling_sum_7,-0.0005575717472873627,0.04551397,Médias/Desvios/Diffs móveis
rolling_min_7,-0.0005577891129693054,0.038366187,Médias/Desvios/Diffs móveis
so2_ma_150d_shift_21d,-0.0007489270357305159,0.0077809845,Poluentes
rolling_sum_14,-0.0007925783663063624,0.109383285,Médias/Desvios/Diffs móveis
lag_28,-0.001013150834872728,0.01622823,Lags da série
lag_365,-0.0010775555270271262,0.0046272525,Lags da série
temp_ma_14d_shift_1d,-0.0023694633893291536,0.004177692,Temperatura
