data_dia,num_internacoes
2012-01-01,546
2012-01-02,784
2012-01-03,462
2012-01-04,448
2012-01-05,434
2012-01-06,560
2012-01-07,322
2012-01-08,420
2012-01-09,476
2012-01-10,588
2012-01-11,532
2012-01-12,504
2012-01-13,406
2012-01-14,434
2012-01-15,280
2012-01-16,616
2012-01-17,420
2012-01-18,434
2012-01-19,616
2012-01-20,546
2012-01-21,406
2012-01-22,168
2012-01-23,630
2012-01-24,532
2012-01-25,518
2012-01-26,406
2012-01-27,378
2012-01-28,238
2012-01-29,462
2012-01-30,322
2012-01-31,364
2012-02-01,280
2012-02-02,448
2012-02-03,518
2012-02-04,378
2012-02-05,308
2012-02-06,672
2012-02-07,504
2012-02-08,686
2012-02-09,490
2012-02-10,378
2012-02-11,336
2012-02-12,602
2012-02-13,476
2012-02-14,574
2012-02-15,518
2012-02-16,588
2012-02-17,406
2012-02-18,336
2012-02-19,378
2012-02-20,350
2012-02-21,364
2012-02-22,392
2012-02-23,602
2012-02-24,630
2012-02-25,546
2012-02-26,434
2012-02-27,952
2012-02-28,714
2012-02-29,462
2012-03-01,630
2012-03-02,700
2012-03-03,378
2012-03-04,336
2012-03-05,686
2012-03-06,448
2012-03-07,532
2012-03-08,574
2012-03-09,616
2012-03-10,378
2012-03-11,350
2012-03-12,630
2012-03-13,812
2012-03-14,588
2012-03-15,602
2012-03-16,476
2012-03-17,588
2012-03-18,476
2012-03-19,742
2012-03-20,728
2012-03-21,728
2012-03-22,714
2012-03-23,840
2012-03-24,490
2012-03-25,504
2012-03-26,1008
2012-03-27,896
2012-03-28,784
2012-03-29,896
2012-03-30,644
2012-03-31,434
2012-04-01,489
2012-04-02,952
2012-04-03,770
2012-04-04,826
2012-04-05,532
2012-04-06,714
2012-04-07,518
2012-04-08,490
2012-04-09,1050
2012-04-10,756
2012-04-11,742
2012-04-12,980
2012-04-13,784
2012-04-14,490
2012-04-15,588
2012-04-16,868
2012-04-17,1134
2012-04-18,644
2012-04-19,756
2012-04-20,602
2012-04-21,742
2012-04-22,602
2012-04-23,658
2012-04-24,1050
2012-04-25,1092
2012-04-26,798
2012-04-27,1148
2012-04-28,980
2012-04-29,630
2012-04-30,826
2012-05-01,616
2012-05-02,1036
2012-05-03,1022
2012-05-04,868
2012-05-05,588
2012-05-06,462
2012-05-07,1036
2012-05-08,980
2012-05-09,882
2012-05-10,1078
2012-05-11,1050
2012-05-12,742
2012-05-13,686
2012-05-14,1288
2012-05-15,1050
2012-05-16,980
2012-05-17,1204
2012-05-18,1260
2012-05-19,616
2012-05-20,770
2012-05-21,1148
2012-05-22,1302
2012-05-23,1316
2012-05-24,1148
2012-05-25,1204
2012-05-26,756
2012-05-27,882
2012-05-28,1358
2012-05-29,1120
2012-05-30,1260
2012-05-31,812
2012-06-01,938
2012-06-02,784
2012-06-03,602
2012-06-04,1148
2012-06-05,1190
2012-06-06,1008
2012-06-07,630
2012-06-08,588
2012-06-09,546
2012-06-10,714
2012-06-11,910
2012-06-12,1092
2012-06-13,742
2012-06-14,994
2012-06-15,868
2012-06-16,672
2012-06-17,602
2012-06-18,1050
2012-06-19,924
2012-06-20,1078
2012-06-21,700
2012-06-22,868
2012-06-23,742
2012-06-24,616
2012-06-25,1218
2012-06-26,896
2012-06-27,756
2012-06-28,798
2012-06-29,868
2012-06-30,560
2012-07-01,714
2012-07-02,1022
2012-07-03,896
2012-07-04,910
2012-07-05,700
2012-07-06,770
2012-07-07,531
2012-07-08,686
2012-07-09,924
2012-07-10,854
2012-07-11,966
2012-07-12,672
2012-07-13,770
2012-07-14,462
2012-07-15,490
2012-07-16,755
2012-07-17,868
2012-07-18,728
2012-07-19,602
2012-07-20,728
2012-07-21,490
2012-07-22,518
2012-07-23,686
2012-07-24,742
2012-07-25,700
2012-07-26,895
2012-07-27,728
2012-07-28,448
2012-07-29,434
2012-07-30,630
2012-07-31,658
2012-08-01,698
2012-08-02,462
2012-08-03,616
2012-08-04,434
2012-08-05,308
2012-08-06,742
2012-08-07,546
2012-08-08,714
2012-08-09,602
2012-08-10,642
2012-08-11,363
2012-08-12,322
2012-08-13,560
2012-08-14,658
2012-08-15,574
2012-08-16,685
2012-08-17,504
2012-08-18,490
2012-08-19,336
2012-08-20,783
2012-08-21,812
2012-08-22,546
2012-08-23,770
2012-08-24,446
2012-08-25,350
2012-08-26,280
2012-08-27,741
2012-08-28,518
2012-08-29,560
2012-08-30,615
2012-08-31,448
2012-09-01,532
2012-09-02,462
2012-09-03,741
2012-09-04,532
2012-09-05,671
2012-09-06,728
2012-09-07,588
2012-09-08,532
2012-09-09,406
2012-09-10,756
2012-09-11,574
2012-09-12,784
2012-09-13,516
2012-09-14,615
2012-09-15,377
2012-09-16,489
2012-09-17,699
2012-09-18,672
2012-09-19,782
2012-09-20,683
2012-09-21,518
2012-09-22,364
2012-09-23,264
2012-09-24,639
2012-09-25,597
2012-09-26,403
2012-09-27,445
2012-09-28,489
2012-09-29,291
2012-09-30,472
2012-10-01,600
2012-10-02,540
2012-10-03,473
2012-10-04,695
2012-10-05,658
2012-10-06,440
2012-10-07,334
2012-10-08,745
2012-10-09,583
2012-10-10,460
2012-10-11,446
2012-10-12,443
2012-10-13,472
2012-10-14,265
2012-10-15,514
2012-10-16,583
2012-10-17,750
2012-10-18,420
2012-10-19,570
2012-10-20,389
2012-10-21,261
2012-10-22,499
2012-10-23,375
2012-10-24,413
2012-10-25,403
2012-10-26,596
2012-10-27,333
2012-10-28,320
2012-10-29,363
2012-10-30,398
2012-10-31,567
2012-11-01,528
2012-11-02,361
2012-11-03,331
2012-11-04,346
2012-11-05,526
2012-11-06,526
2012-11-07,427
2012-11-08,538
2012-11-09,455
2012-11-10,372
2012-11-11,262
2012-11-12,473
2012-11-13,389
2012-11-14,387
2012-11-15,333
2012-11-16,262
2012-11-17,262
2012-11-18,343
2012-11-19,443
2012-11-20,495
2012-11-21,515
2012-11-22,510
2012-11-23,481
2012-11-24,443
2012-11-25,263
2012-11-26,552
2012-11-27,443
2012-11-28,621
2012-11-29,454
2012-11-30,409
2012-12-01,435
2012-12-02,368
2012-12-03,520
2012-12-04,588
2012-12-05,351
2012-12-06,421
2012-12-07,421
2012-12-08,449
2012-12-09,340
2012-12-10,604
2012-12-11,458
2012-12-12,417
2012-12-13,294
2012-12-14,448
2012-12-15,378
2012-12-16,257
2012-12-17,391
2012-12-18,302
2012-12-19,416
2012-12-20,374
2012-12-21,442
2012-12-22,383
2012-12-23,291
2012-12-24,236
2012-12-25,223
2012-12-26,666
2012-12-27,489
2012-12-28,552
2012-12-29,473
2012-12-30,209
2012-12-31,299
2013-01-01,559
2013-01-02,533
2013-01-03,507
2013-01-04,468
2013-01-05,416
2013-01-06,338
2013-01-07,455
2013-01-08,507
2013-01-09,416
2013-01-10,481
2013-01-11,390
2013-01-12,312
2013-01-13,208
2013-01-14,416
2013-01-15,364
2013-01-16,455
2013-01-17,286
2013-01-18,442
2013-01-19,247
2013-01-20,364
2013-01-21,390
2013-01-22,507
2013-01-23,299
2013-01-24,325
2013-01-25,364
2013-01-26,286
2013-01-27,312
2013-01-28,325
2013-01-29,429
2013-01-30,338
2013-01-31,377
2013-02-01,533
2013-02-02,286
2013-02-03,221
2013-02-04,390
2013-02-05,507
2013-02-06,299
2013-02-07,338
2013-02-08,286
2013-02-09,299
2013-02-10,286
2013-02-11,377
2013-02-12,377
2013-02-13,442
2013-02-14,611
2013-02-15,481
2013-02-16,429
2013-02-17,416
2013-02-18,559
2013-02-19,585
2013-02-20,494
2013-02-21,507
2013-02-22,390
2013-02-23,338
2013-02-24,338
