data,no,no2,so2,pm2_5,nox,ur,temp,o3,co,pm10,chuva
2012-01-01,5.762,22.376,2.667,14.508,28.102,92.521,25.556,22.905,0.397,22.838,228.2
2012-01-02,25.347,29.317,2.29,8.158,54.67,95.074,22.264,13.924,0.311,14.965,371.0
2012-01-03,23.367,28.593,3.704,9.875,51.883,73.642,25.091,15.997,0.243,26.374,0.2
2012-01-04,28.645,36.209,3.177,14.823,64.833,72.631,26.083,23.245,0.267,35.924,0.4
2012-01-05,17.859,31.785,3.113,11.958,49.605,74.86,26.661,36.343,0.25,31.761,0.0
2012-01-06,18.754,34.488,4.332,10.656,53.236,77.801,26.881,29.577,0.345,25.479,149.2
2012-01-07,13.529,25.685,4.243,9.229,39.091,70.862,27.818,35.823,0.305,23.753,0.6
2012-01-08,11.425,33.005,5.513,14.906,44.334,82.347,26.038,35.272,0.32,27.804,108.2
2012-01-09,20.527,31.717,3.299,7.875,52.225,82.023,25.358,15.682,0.255,16.901,1.2
2012-01-10,28.769,33.607,4.868,10.677,62.379,81.382,25.753,12.972,0.361,26.849,67.0
2012-01-11,21.663,35.266,5.075,10.104,56.932,80.3,26.352,16.73,0.327,30.909,0.6
2012-01-12,29.451,34.085,7.652,10.042,63.544,69.884,28.316,16.395,0.324,33.477,0.0
2012-01-13,30.845,35.309,8.407,12.948,66.155,65.591,29.914,19.843,0.366,34.552,43.0
2012-01-14,21.947,29.108,5.281,12.5,51.36,52.467,32.798,26.611,0.346,32.013,30.0
2012-01-15,10.208,24.109,2.272,10.875,34.313,62.213,30.699,30.424,0.375,22.59,95.4
2012-01-16,17.712,41.0,6.349,17.375,58.717,80.787,27.402,33.178,0.37,28.982,53.6
2012-01-17,25.0,42.708,6.692,24.729,67.712,75.914,28.209,42.486,0.411,43.234,0.0
2012-01-18,17.564,35.215,5.638,24.083,52.775,73.27,28.479,44.807,0.327,43.852,0.0
2012-01-19,16.407,33.972,5.884,22.156,50.369,74.238,28.197,45.059,0.311,45.839,163.0
2012-01-20,11.442,35.757,7.586,21.458,47.195,71.332,28.642,42.018,0.285,39.677,0.2
