data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2012-01-01 00:30:00,ESTAÇÃO BANGU,0.2,24.67,95.24,,15.18,0.42,2.18,17.36,28.06,81.0,,-22.88790959,-43.47107415
2012-01-01 01:30:00,ESTAÇÃO BANGU,0.4,24.72,94.13,0.4,9.5,0.35,1.63,11.12,32.81,61.0,,-22.88790959,-43.47107415
2012-01-01 02:30:00,ESTAÇÃO BANGU,0.0,24.49,92.91,0.12,8.74,0.27,1.73,10.47,31.61,26.0,,-22.88790959,-43.47107415
2012-01-01 03:30:00,ESTAÇÃO BANGU,0.2,24.54,92.59,0.0,5.51,0.21,1.18,6.68,37.39,20.0,,-22.88790959,-43.47107415
2012-01-01 04:30:00,ESTAÇÃO BANGU,0.4,24.78,90.71,0.0,8.41,0.16,0.95,9.35,33.45,7.0,,-22.88790959,-43.47107415
2012-01-01 05:30:00,ESTAÇÃO BANGU,0.0,24.68,92.29,0.0,12.09,0.2,1.8,13.88,24.66,7.0,,-22.88790959,-43.47107415
2012-01-01 06:30:00,ESTAÇÃO BANGU,0.2,24.84,92.02,0.0,15.12,0.23,2.73,17.86,21.14,6.0,,-22.88790959,-43.47107415
2012-01-01 07:30:00,ESTAÇÃO BANGU,0.0,25.69,86.16,0.0,8.87,0.18,1.9,10.76,29.74,4.0,,-22.88790959,-43.47107415
2012-01-01 08:30:00,ESTAÇÃO BANGU,0.0,26.76,81.99,0.0,8.58,0.2,3.08,11.66,29.68,3.75,,-22.88790959,-43.47107415
2012-01-01 09:30:00,ESTAÇÃO BANGU,0.0,27.97,79.52,0.15,10.3,0.3,3.86,14.16,35.57,3.5,,-22.88790959,-43.47107415
2012-01-01 10:30:00,ESTAÇÃO BANGU,1.8,27.93,80.4,1.34,5.98,0.28,1.91,7.88,35.15,3.25,,-22.88790959,-43.47107415
2012-01-01 11:30:00,ESTAÇÃO BANGU,1.6,27.67,86.53,0.0,7.67,0.48,2.25,9.92,30.94,3.0,,-22.88790959,-43.47107415
2012-01-01 12:30:00,ESTAÇÃO BANGU,1.2,27.57,87.28,0.0,9.99,0.85,2.29,12.28,28.69,9.0,,-22.88790959,-43.47107415
2012-01-01 13:30:00,ESTAÇÃO BANGU,1.4,26.62,89.84,0.0,8.06,0.69,2.38,10.45,26.14,36.0,,-22.88790959,-43.47107415
2012-01-01 14:30:00,ESTAÇÃO BANGU,0.4,26.7,88.99,0.0,8.51,0.74,2.41,10.92,26.23,19.0,,-22.88790959,-43.47107415
2012-01-01 15:30:00,ESTAÇÃO BANGU,0.2,27.2,84.14,0.0,5.9,0.54,2.36,8.26,30.09,21.0,,-22.88790959,-43.47107415
2012-01-01 16:30:00,ESTAÇÃO BANGU,0.0,27.12,87.01,1.68,17.35,0.77,3.61,20.96,31.87,12.0,,-22.88790959,-43.47107415
2012-01-01 17:30:00,ESTAÇÃO BANGU,0.0,26.7,89.66,4.33,20.11,0.7,3.12,23.24,34.94,29.0,,-22.88790959,-43.47107415
2012-01-01 18:30:00,ESTAÇÃO BANGU,0.4,26.31,90.82,2.4,26.75,0.95,4.75,31.51,20.9,34.0,,-22.88790959,-43.47107415
2012-01-01 19:30:00,ESTAÇÃO BANGU,0.8,25.77,94.64,0.4,28.83,1.33,6.15,34.98,8.12,28.0,,-22.88790959,-43.47107415
2012-01-01 20:30:00,ESTAÇÃO BANGU,1.6,25.12,95.09,0.0,12.93,0.73,2.69,15.62,18.49,44.0,,-22.88790959,-43.47107415
2012-01-01 21:30:00,ESTAÇÃO BANGU,4.0,24.02,96.58,0.0,6.67,0.37,1.59,8.23,35.32,20.0,,-22.88790959,-43.47107415
2012-01-01 22:30:00,ESTAÇÃO BANGU,6.6,23.57,96.84,0.0,5.01,0.24,1.38,6.39,41.28,6.0,,-22.88790959,-43.47107415
2012-01-01 23:30:00,ESTAÇÃO BANGU,8.6,23.21,99.56,0.0,3.67,0.17,0.93,4.6,39.37,4.0,,-22.88790959,-43.47107415
2012-01-02 00:30:00,ESTAÇÃO BANGU,0.8,23.34,94.25,0.05,1.82,0.04,0.64,2.34,31.18,2.0,,-22.88790959,-43.47107415
2012-01-02 01:30:00,ESTAÇÃO BANGU,0.6,23.24,93.23,0.1,1.81,0.01,0.72,2.54,28.44,4.0,,-22.88790959,-43.47107415
2012-01-02 02:30:00,ESTAÇÃO BANGU,0.2,23.12,93.48,0.47,1.9,0.02,0.73,2.63,29.3,8.0,,-22.88790959,-43.47107415
2012-01-02 03:30:00,ESTAÇÃO BANGU,0.0,23.15,92.58,0.41,4.95,0.02,1.11,6.06,25.17,10.0,,-22.88790959,-43.47107415
2012-01-02 04:30:00,ESTAÇÃO BANGU,0.0,23.11,93.07,0.42,7.07,0.05,1.69,8.75,20.75,10.0,,-22.88790959,-43.47107415
2012-01-02 05:30:00,ESTAÇÃO BANGU,1.4,22.93,96.9,0.26,14.05,0.14,4.96,19.01,10.32,12.0,,-22.88790959,-43.47107415
2012-01-02 06:30:00,ESTAÇÃO BANGU,8.2,22.61,96.6,0.21,12.47,0.13,4.05,16.52,15.45,12.0,,-22.88790959,-43.47107415
2012-01-02 07:30:00,ESTAÇÃO BANGU,6.8,22.3,97.95,0.35,7.27,0.18,2.38,9.64,23.41,6.0,,-22.88790959,-43.47107415
2012-01-02 08:30:00,ESTAÇÃO BANGU,10.8,22.3,97.46,0.33,8.63,0.19,2.83,11.46,23.95,2.0,,-22.88790959,-43.47107415
2012-01-02 09:30:00,ESTAÇÃO BANGU,6.0,22.19,96.0,0.39,5.89,0.16,2.84,8.73,32.01,1.8,,-22.88790959,-43.47107415
2012-01-02 10:30:00,ESTAÇÃO BANGU,1.6,22.59,93.06,0.47,8.64,0.22,3.83,12.47,30.55,1.6,,-22.88790959,-43.47107415
2012-01-02 11:30:00,ESTAÇÃO BANGU,2.0,22.82,93.17,0.66,9.65,0.22,5.01,14.67,28.93,1.4,,-22.88790959,-43.47107415
2012-01-02 12:30:00,ESTAÇÃO BANGU,0.2,23.24,90.15,0.24,6.15,0.21,3.35,9.5,33.21,1.2,,-22.88790959,-43.47107415
2012-01-02 13:30:00,ESTAÇÃO BANGU,1.4,23.18,90.93,0.0,11.61,0.25,4.13,15.74,31.03,1.0,,-22.88790959,-43.47107415
2012-01-02 14:30:00,ESTAÇÃO BANGU,0.8,23.03,92.83,0.08,14.49,0.3,5.48,19.97,27.78,4.0,,-22.88790959,-43.47107415
2012-01-02 15:30:00,ESTAÇÃO BANGU,0.4,23.25,94.3,0.26,18.65,0.35,6.32,24.98,21.73,2.0,,-22.88790959,-43.47107415
2012-01-02 16:30:00,ESTAÇÃO BANGU,0.6,22.8,95.55,0.38,20.19,0.35,6.58,26.77,19.24,5.0,,-22.88790959,-43.47107415
2012-01-02 17:30:00,ESTAÇÃO BANGU,0.0,22.55,95.45,0.27,24.72,0.46,8.05,32.77,12.27,8.0,,-22.88790959,-43.47107415
2012-01-02 18:30:00,ESTAÇÃO BANGU,2.4,22.33,97.33,0.4,27.43,0.54,10.41,37.84,7.02,6.0,,-22.88790959,-43.47107415
2012-01-02 19:30:00,ESTAÇÃO BANGU,0.4,22.1,96.52,0.74,25.88,0.52,11.42,37.3,4.37,4.0,,-22.88790959,-43.47107415
2012-01-02 20:30:00,ESTAÇÃO BANGU,0.0,22.0,96.03,1.01,27.65,0.48,13.3,40.95,0.91,5.0,,-22.88790959,-43.47107415
2012-01-02 21:30:00,ESTAÇÃO BANGU,0.0,21.94,96.47,0.81,28.38,0.47,9.83,38.2,1.82,6.0,,-22.88790959,-43.47107415
2012-01-02 22:30:00,ESTAÇÃO BANGU,0.0,21.95,96.79,0.52,26.31,0.33,5.26,31.57,4.1,8.0,,-22.88790959,-43.47107415
2012-01-02 23:30:00,ESTAÇÃO BANGU,0.0,21.96,96.24,0.69,20.86,0.27,2.91,23.76,8.16,9.0,,-22.88790959,-43.47107415
2012-01-03 00:30:00,ESTAÇÃO BANGU,0.0,21.88,95.03,0.345,14.35,0.25,1.9,16.25,12.67,6.0,,-22.88790959,-43.47107415
2012-01-03 01:30:00,ESTAÇÃO BANGU,0.0,21.58,95.48,0.0,9.71,0.21,1.89,11.6,14.28,5.0,,-22.88790959,-43.47107415
2012-01-03 02:30:00,ESTAÇÃO BANGU,0.0,20.86,96.84,0.0,4.56,0.17,1.56,6.12,9.99,7.0,,-22.88790959,-43.47107415
2012-01-03 03:30:00,ESTAÇÃO BANGU,0.0,20.52,96.67,0.0,5.01,0.18,1.29,6.31,9.08,11.0,,-22.88790959,-43.47107415
2012-01-03 04:30:00,ESTAÇÃO BANGU,0.0,20.32,97.17,0.0,12.31,0.25,8.47,20.78,1.24,12.0,,-22.88790959,-43.47107415
2012-01-03 05:30:00,ESTAÇÃO BANGU,0.0,20.07,97.25,0.0,8.44,0.29,3.52,11.96,3.69,15.0,,-22.88790959,-43.47107415
2012-01-03 06:30:00,ESTAÇÃO BANGU,0.0,21.53,91.41,0.0,12.66,0.4,9.7,22.37,6.1,15.0,,-22.88790959,-43.47107415
2012-01-03 07:30:00,ESTAÇÃO BANGU,0.0,24.67,77.83,2.08,14.43,0.39,10.96,25.38,20.13,17.0,,-22.88790959,-43.47107415
2012-01-03 08:30:00,ESTAÇÃO BANGU,0.0,26.48,66.27,4.6,10.02,0.32,5.46,15.47,32.97,19.0,,-22.88790959,-43.47107415
2012-01-03 09:30:00,ESTAÇÃO BANGU,0.0,28.2,60.11,2.68,5.01,0.27,2.58,7.58,39.76,11.0,,-22.88790959,-43.47107415
2012-01-03 10:30:00,ESTAÇÃO BANGU,0.0,28.8,59.14,1.33,4.62,0.28,1.95,6.58,45.49,10.0,,-22.88790959,-43.47107415
2012-01-03 11:30:00,ESTAÇÃO BANGU,0.0,29.45,56.09,0.51,5.74,0.17500000000000002,2.39,8.13,43.44,12.0,,-22.88790959,-43.47107415
2012-01-03 12:30:00,ESTAÇÃO BANGU,0.0,28.69,60.86,0.21,3.93,0.07,1.48,5.42,53.72,16.333333333333332,,-22.88790959,-43.47107415
2012-01-03 13:30:00,ESTAÇÃO BANGU,0.0,28.58,61.82,0.0,0.0,0.25,0.0,0.0,50.61,20.666666666666664,,-22.88790959,-43.47107415
2012-01-03 14:30:00,ESTAÇÃO BANGU,0.0,29.36,59.8,0.0,0.0,0.28,0.0,0.0,47.07,25.0,,-22.88790959,-43.47107415
2012-01-03 15:30:00,ESTAÇÃO BANGU,0.0,28.48,61.72,0.0,0.0,0.34,0.0,0.0,42.98,29.0,,-22.88790959,-43.47107415
2012-01-03 16:30:00,ESTAÇÃO BANGU,0.0,29.18,57.25,0.0,10.49,0.32,3.08,13.57,51.16,22.0,,-22.88790959,-43.47107415
