data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2012-01-01 00:30:00,ESTAÇÃO CAMPO GRANDE,0.2,25.12,94.33,3.83,28.79,0.69,1.59,30.38,37.67,27.0,,-22.88625468,-43.55652197
2012-01-01 01:30:00,ESTAÇÃO CAMPO GRANDE,0.0,25.02,94.65,1.63,25.73,0.58,1.46,27.19,41.29,34.0,,-22.88625468,-43.55652197
2012-01-01 02:30:00,ESTAÇÃO CAMPO GRANDE,0.2,24.95,92.03,0.38,18.15,0.38,1.05,19.2,48.89,41.0,,-22.88625468,-43.55652197
2012-01-01 03:30:00,ESTAÇÃO CAMPO GRANDE,0.4,24.82,91.98,0.18,12.09,0.27,0.39,12.48,57.66,16.0,,-22.88625468,-43.55652197
2012-01-01 04:30:00,ESTAÇÃO CAMPO GRANDE,0.0,24.86,92.73,0.04,15.11,0.3,0.47,15.58,49.09,6.0,,-22.88625468,-43.55652197
2012-01-01 05:30:00,ESTAÇÃO CAMPO GRANDE,0.0,24.9,93.09,0.1,20.82,0.32,1.82,22.64,38.19,6.0,,-22.88625468,-43.55652197
2012-01-01 06:30:00,ESTAÇÃO CAMPO GRANDE,0.0,25.04,92.23,0.14,17.04,0.26,1.63,18.67,41.28,7.0,,-22.88625468,-43.55652197
2012-01-01 07:30:00,ESTAÇÃO CAMPO GRANDE,0.2,25.32,91.45,0.08,20.61,0.28,2.55,23.16,35.87,8.0,,-22.88625468,-43.55652197
2012-01-01 08:30:00,ESTAÇÃO CAMPO GRANDE,0.0,26.66,86.74,0.29,24.88,0.3,6.02,30.9,36.01,8.0,,-22.88625468,-43.55652197
2012-01-01 09:30:00,ESTAÇÃO CAMPO GRANDE,0.0,27.48,84.34,0.7,30.04,0.41,6.0,36.03,41.51,8.0,,-22.88625468,-43.55652197
2012-01-01 10:30:00,ESTAÇÃO CAMPO GRANDE,1.8,27.25,89.05,1.25,28.08,0.5,5.93,34.01,44.23,8.0,,-22.88625468,-43.55652197
2012-01-01 11:30:00,ESTAÇÃO CAMPO GRANDE,0.8,27.79,83.73,1.45,24.44,0.53,7.14,31.58,36.94,10.0,,-22.88625468,-43.55652197
2012-01-01 12:30:00,ESTAÇÃO CAMPO GRANDE,2.2,27.32,85.96,0.33,20.34,0.65,6.95,27.31,28.74,11.0,,-22.88625468,-43.55652197
2012-01-01 13:30:00,ESTAÇÃO CAMPO GRANDE,1.0,26.57,88.83,0.18,17.98,0.52,4.89,22.86,32.2,12.0,,-22.88625468,-43.55652197
2012-01-01 14:30:00,ESTAÇÃO CAMPO GRANDE,0.2,27.31,85.52,0.2,18.68,0.67,3.96,22.64,35.81,11.0,,-22.88625468,-43.55652197
2012-01-01 15:30:00,ESTAÇÃO CAMPO GRANDE,0.2,27.77,84.84,0.18,25.1,0.85,6.05,31.15,39.63,16.0,,-22.88625468,-43.55652197
2012-01-01 16:30:00,ESTAÇÃO CAMPO GRANDE,0.0,27.66,85.44,0.23,30.3,0.86,5.5,35.78,42.01,20.0,,-22.88625468,-43.55652197
2012-01-01 17:30:00,ESTAÇÃO CAMPO GRANDE,0.0,27.25,88.11,5.48,49.63,1.0,5.52,55.15,39.07,24.0,,-22.88625468,-43.55652197
2012-01-01 18:30:00,ESTAÇÃO CAMPO GRANDE,0.2,26.67,90.25,3.92,49.53,0.92,6.6,56.12,25.17,50.0,,-22.88625468,-43.55652197
2012-01-01 19:30:00,ESTAÇÃO CAMPO GRANDE,0.6,25.97,93.95,1.19,41.97,0.83,3.56,45.53,19.64,27.0,,-22.88625468,-43.55652197
2012-01-01 20:30:00,ESTAÇÃO CAMPO GRANDE,1.0,24.59,94.23,0.46,20.73,0.36,0.99,21.72,55.71,20.0,,-22.88625468,-43.55652197
2012-01-01 21:30:00,ESTAÇÃO CAMPO GRANDE,1.8,23.97,96.4,0.06,18.48,0.37,0.68,19.16,58.24,5.0,,-22.88625468,-43.55652197
2012-01-01 22:30:00,ESTAÇÃO CAMPO GRANDE,3.2,23.89,96.88,0.01,28.82,0.43,0.86,29.68,44.35,6.0,,-22.88625468,-43.55652197
2012-01-01 23:30:00,ESTAÇÃO CAMPO GRANDE,0.8,23.95,96.11,0.0,12.14,0.28,1.07,13.21,58.53,3.0,,-22.88625468,-43.55652197
2012-01-02 00:30:00,ESTAÇÃO CAMPO GRANDE,1.6,23.73,94.02,0.03,9.17,0.12,0.34,9.5,44.91,3.5,,-22.88625468,-43.55652197
2012-01-02 01:30:00,ESTAÇÃO CAMPO GRANDE,0.4,23.62,93.57,0.31,8.04,0.12,0.41,8.45,43.06,4.0,,-22.88625468,-43.55652197
2012-01-02 02:30:00,ESTAÇÃO CAMPO GRANDE,0.0,23.58,93.55,0.58,10.33,0.1,0.58,10.91,38.09,9.0,,-22.88625468,-43.55652197
2012-01-02 03:30:00,ESTAÇÃO CAMPO GRANDE,0.0,23.62,94.11,0.7,19.61,0.13,1.82,21.45,27.96,11.0,,-22.88625468,-43.55652197
2012-01-02 04:30:00,ESTAÇÃO CAMPO GRANDE,0.0,23.64,93.86,1.05,32.01,0.16,22.7,54.8,19.85,12.0,,-22.88625468,-43.55652197
2012-01-02 05:30:00,ESTAÇÃO CAMPO GRANDE,1.0,23.48,94.2,0.55,31.45,0.21,7.74,39.19,18.13,12.0,,-22.88625468,-43.55652197
2012-01-02 06:30:00,ESTAÇÃO CAMPO GRANDE,4.6,23.17,95.75,1.18,39.59,0.27,39.07,78.59,12.5,13.0,,-22.88625468,-43.55652197
2012-01-02 07:30:00,ESTAÇÃO CAMPO GRANDE,1.4,22.75,95.36,0.5,30.96,0.25,13.04,44.19,22.18,12.0,,-22.88625468,-43.55652197
2012-01-02 08:30:00,ESTAÇÃO CAMPO GRANDE,9.2,22.45,96.46,0.73,32.74,0.28,5.82,38.56,23.74,9.0,,-22.88625468,-43.55652197
2012-01-02 09:30:00,ESTAÇÃO CAMPO GRANDE,3.6,22.19,96.65,0.51,25.43,0.25,8.1,33.52,33.84,8.0,,-22.88625468,-43.55652197
2012-01-02 10:30:00,ESTAÇÃO CAMPO GRANDE,0.2,22.81,92.63,0.92,28.58,0.21,27.76,56.36,42.12,6.0,,-22.88625468,-43.55652197
2012-01-02 11:30:00,ESTAÇÃO CAMPO GRANDE,3.0,23.06,92.21,0.34,20.16,0.22,7.92,28.17,45.96,5.333333333333333,,-22.88625468,-43.55652197
2012-01-02 12:30:00,ESTAÇÃO CAMPO GRANDE,0.0,23.9,86.83,0.26,14.65,0.23,5.33,20.15,54.62,4.666666666666667,,-22.88625468,-43.55652197
2012-01-02 13:30:00,ESTAÇÃO CAMPO GRANDE,0.0,24.79,84.34,0.95,23.41,0.4,9.64,33.04,47.44,4.0,,-22.88625468,-43.55652197
2012-01-02 14:30:00,ESTAÇÃO CAMPO GRANDE,0.2,24.31,87.59,1.55,31.360000000000003,0.41,25.455000000000002,56.879999999999995,29.95,7.0,,-22.88625468,-43.55652197
