data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2012-01-01 00:30:00,ESTAÇÃO COPACABANA,0.2,24.14,93.01,2.2,,0.41,,,19.29,70.0,,-22.96500373,-43.18048165
2012-01-01 01:30:00,ESTAÇÃO COPACABANA,0.4,24.11,92.03,1.25,,0.2,,,27.41,58.0,,-22.96500373,-43.18048165
2012-01-01 02:30:00,ESTAÇÃO COPACABANA,0.0,24.12,91.36,1.29,,0.45,,,25.8,45.0,,-22.96500373,-43.18048165
2012-01-01 03:30:00,ESTAÇÃO COPACABANA,0.2,24.12,91.67,1.5,,0.29,,,9.18,47.0,,-22.96500373,-43.18048165
2012-01-01 04:30:00,ESTAÇÃO COPACABANA,0.0,23.97,92.03,1.78,,0.29,,,8.9,35.0,,-22.96500373,-43.18048165
2012-01-01 05:30:00,ESTAÇÃO COPACABANA,0.0,23.73,93.32,1.35,,0.12,,,8.05,42.0,,-22.96500373,-43.18048165
2012-01-01 06:30:00,ESTAÇÃO COPACABANA,0.2,24.13,92.5,2.28,,0.21,,,3.62,32.0,,-22.96500373,-43.18048165
2012-01-01 07:30:00,ESTAÇÃO COPACABANA,0.2,24.52,91.58,2.7,,0.26,,,4.26,37.0,,-22.96500373,-43.18048165
2012-01-01 08:30:00,ESTAÇÃO COPACABANA,0.4,24.83,91.33,2.5,,0.18,,,8.36,37.0,,-22.96500373,-43.18048165
2012-01-01 09:30:00,ESTAÇÃO COPACABANA,0.0,26.84,82.54,3.91,,0.21,,,5.88,33.0,,-22.96500373,-43.18048165
2012-01-01 10:30:00,ESTAÇÃO COPACABANA,0.0,27.38,76.53,3.33,,0.25,,,10.43,45.0,,-22.96500373,-43.18048165
2012-01-01 11:30:00,ESTAÇÃO COPACABANA,1.4,26.61,80.97,4.21,,0.54,,,9.06,42.0,,-22.96500373,-43.18048165
2012-01-01 12:30:00,ESTAÇÃO COPACABANA,0.8,25.8,87.53,4.39,,0.72,,,13.13,47.0,,-22.96500373,-43.18048165
2012-01-01 13:30:00,ESTAÇÃO COPACABANA,1.0,25.62,87.7,4.21,,0.87,,,10.71,43.0,,-22.96500373,-43.18048165
2012-01-01 14:30:00,ESTAÇÃO COPACABANA,0.4,25.85,84.88,3.23,,0.82,,,9.67,44.0,,-22.96500373,-43.18048165
2012-01-01 15:30:00,ESTAÇÃO COPACABANA,0.0,26.16,87.59,6.51,,1.13,,,6.13,45.0,,-22.96500373,-43.18048165
2012-01-01 16:30:00,ESTAÇÃO COPACABANA,0.2,25.5,89.66,9.43,,0.65,,,11.37,57.0,,-22.96500373,-43.18048165
2012-01-01 17:30:00,ESTAÇÃO COPACABANA,0.2,25.61,87.68,8.51,,0.83,,,9.48,49.0,,-22.96500373,-43.18048165
2012-01-01 18:30:00,ESTAÇÃO COPACABANA,0.0,25.69,88.25,6.39,,0.8,,,4.17,49.0,,-22.96500373,-43.18048165
2012-01-01 19:30:00,ESTAÇÃO COPACABANA,0.2,25.25,91.81,4.9,,0.92,,,1.25,55.0,,-22.96500373,-43.18048165
2012-01-01 20:30:00,ESTAÇÃO COPACABANA,0.2,24.92,94.91,4.39,,0.86,,,0.39,50.0,,-22.96500373,-43.18048165
2012-01-01 21:30:00,ESTAÇÃO COPACABANA,0.6,24.12,94.2,2.66,,0.35,,,8.65,52.0,,-22.96500373,-43.18048165
2012-01-01 22:30:00,ESTAÇÃO COPACABANA,0.4,23.73,93.66,1.51,,0.25,,,11.95,39.0,,-22.96500373,-43.18048165
2012-01-01 23:30:00,ESTAÇÃO COPACABANA,10.2,23.38,93.74,1.05,,0.15,,,15.2,29.0,,-22.96500373,-43.18048165
2012-01-02 00:30:00,ESTAÇÃO COPACABANA,2.6,22.98,94.98,0.59,,0.08,,,13.45,30.0,,-22.96500373,-43.18048165
2012-01-02 01:30:00,ESTAÇÃO COPACABANA,0.6,22.81,93.78,0.18,,0.07,,,13.97,24.0,,-22.96500373,-43.18048165
2012-01-02 02:30:00,ESTAÇÃO COPACABANA,0.6,22.58,91.94,0.13,,0.02,,,18.3,34.0,,-22.96500373,-43.18048165
2012-01-02 03:30:00,ESTAÇÃO COPACABANA,0.0,22.42,90.52,0.0,,0.02,,,22.14,24.0,,-22.96500373,-43.18048165
2012-01-02 04:30:00,ESTAÇÃO COPACABANA,0.2,22.39,90.77,0.29,,0.04,,,9.89,37.0,,-22.96500373,-43.18048165
2012-01-02 05:30:00,ESTAÇÃO COPACABANA,1.2,21.93,94.43,0.03,,0.04,,,11.21,32.0,,-22.96500373,-43.18048165
2012-01-02 06:30:00,ESTAÇÃO COPACABANA,1.2,21.88,95.83,0.38,,0.17,,,5.94,31.0,,-22.96500373,-43.18048165
2012-01-02 07:30:00,ESTAÇÃO COPACABANA,1.4,22.02,95.22,1.91,,0.31,,,3.3,37.0,,-22.96500373,-43.18048165
2012-01-02 08:30:00,ESTAÇÃO COPACABANA,2.6,22.2,94.39,2.64,,0.41,,,1.55,42.0,,-22.96500373,-43.18048165
2012-01-02 09:30:00,ESTAÇÃO COPACABANA,3.2,21.98,94.17,2.0,,0.24,,,5.26,38.0,,-22.96500373,-43.18048165
2012-01-02 10:30:00,ESTAÇÃO COPACABANA,5.0,21.93,93.44,1.53,,0.21,,,4.51,26.0,,-22.96500373,-43.18048165
2012-01-02 11:30:00,ESTAÇÃO COPACABANA,3.8,21.84,92.61,1.51,,0.2,,,5.09,28.0,,-22.96500373,-43.18048165
2012-01-02 12:30:00,ESTAÇÃO COPACABANA,1.8,22.05,92.06,1.16,,0.24,,,5.2,28.0,,-22.96500373,-43.18048165
2012-01-02 13:30:00,ESTAÇÃO COPACABANA,0.4,22.83,89.39,1.74,,0.35,,,6.35,30.0,,-22.96500373,-43.18048165
2012-01-02 14:30:00,ESTAÇÃO COPACABANA,0.0,23.1,86.06,2.68,,0.41,,,5.3,50.0,,-22.96500373,-43.18048165
2012-01-02 15:30:00,ESTAÇÃO COPACABANA,0.0,22.91,87.52,2.73,,0.37,,,6.81,41.0,,-22.96500373,-43.18048165
2012-01-02 16:30:00,ESTAÇÃO COPACABANA,1.6,22.19,92.18,4.45,,0.48,,,2.48,44.0,,-22.96500373,-43.18048165
2012-01-02 17:30:00,ESTAÇÃO COPACABANA,1.6,21.84,93.81,4.12,,0.57,,,2.34,43.0,,-22.96500373,-43.18048165
