data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2012-01-01 00:30:00,ESTAÇÃO IRAJÁ,0.8,24.84,97.12,2.55,20.09,0.4,0.23,20.2,25.03,89.0,85.0,-22.8316208,-43.3268447
2012-01-01 01:30:00,ESTAÇÃO IRAJÁ,0.0,24.68,96.0,0.45,18.91,0.35,0.68,19.6,22.95,33.0,32.0,-22.8316208,-43.3268447
2012-01-01 02:30:00,ESTAÇÃO IRAJÁ,0.0,24.56,96.39,0.11,17.99,0.34,0.39,18.33,22.31,19.0,14.0,-22.8316208,-43.3268447
2012-01-01 03:30:00,ESTAÇÃO IRAJÁ,0.0,24.65,96.87,0.7,22.49,0.37,0.44,22.93,17.98,12.0,12.0,-22.8316208,-43.3268447
2012-01-01 04:30:00,ESTAÇÃO IRAJÁ,0.0,24.66,96.32,0.79,21.28,0.32,0.24,21.52,18.88,10.0,10.0,-22.8316208,-43.3268447
2012-01-01 05:30:00,ESTAÇÃO IRAJÁ,0.0,24.59,96.52,0.13,29.4,0.29,1.06,30.46,14.0,10.0,8.0,-22.8316208,-43.3268447
2012-01-01 06:30:00,ESTAÇÃO IRAJÁ,1.2,24.79,96.33,0.35,33.47,0.3,1.94,35.41,10.58,10.0,6.0,-22.8316208,-43.3268447
2012-01-01 07:30:00,ESTAÇÃO IRAJÁ,0.4,25.21,95.62,0.93,42.47,0.41,6.14,48.61,12.04,8.0,3.0,-22.8316208,-43.3268447
2012-01-01 08:30:00,ESTAÇÃO IRAJÁ,0.0,26.21,92.04,1.37,36.12,0.39,6.15,42.27,13.76,8.0,3.0,-22.8316208,-43.3268447
2012-01-01 09:30:00,ESTAÇÃO IRAJÁ,0.0,27.78,84.94,1.94,24.64,0.43,7.1,31.74,16.13,6.0,4.0,-22.8316208,-43.3268447
2012-01-01 10:30:00,ESTAÇÃO IRAJÁ,0.0,28.57,80.96,2.27,23.85,0.35,4.46,28.3,20.34,5.0,2.0,-22.8316208,-43.3268447
2012-01-01 11:30:00,ESTAÇÃO IRAJÁ,0.4,28.94,79.93,4.86,31.63,0.6,4.24,35.87,24.41,6.0,2.0,-22.8316208,-43.3268447
2012-01-01 12:30:00,ESTAÇÃO IRAJÁ,4.0,27.88,88.55,3.62,48.36,0.85,11.24,59.6,16.12,17.0,6.0,-22.8316208,-43.3268447
2012-01-01 13:30:00,ESTAÇÃO IRAJÁ,2.4,26.9,92.77,0.36,43.34,1.08,8.25,51.59,14.48,22.0,19.0,-22.8316208,-43.3268447
2012-01-01 14:30:00,ESTAÇÃO IRAJÁ,0.8,26.92,90.38,0.03,38.17,1.13,10.7,48.88,13.2,25.0,19.0,-22.8316208,-43.3268447
2012-01-01 15:30:00,ESTAÇÃO IRAJÁ,0.4,26.88,92.02,1.01,33.78,0.88,5.95,39.72,19.05,28.0,19.0,-22.8316208,-43.3268447
2012-01-01 16:30:00,ESTAÇÃO IRAJÁ,0.0,26.87,91.91,3.14,30.3,0.64,1.9,32.2,32.39,36.0,21.0,-22.8316208,-43.3268447
2012-01-01 17:30:00,ESTAÇÃO IRAJÁ,0.0,26.59,90.85,1.19,27.09,0.52,1.48,28.57,21.13,20.0,11.0,-22.8316208,-43.3268447
2012-01-01 18:30:00,ESTAÇÃO IRAJÁ,0.0,26.41,93.62,1.76,38.79,0.69,3.25,42.02,10.07,10.0,9.0,-22.8316208,-43.3268447
2012-01-01 19:30:00,ESTAÇÃO IRAJÁ,0.0,26.11,96.06,1.18,48.54,0.74,3.17,51.7,1.83,12.0,10.0,-22.8316208,-43.3268447
2012-01-01 20:30:00,ESTAÇÃO IRAJÁ,0.4,26.04,95.06,1.19,56.62,1.05,13.61,70.23,0.47,15.0,12.0,-22.8316208,-43.3268447
2012-01-01 21:30:00,ESTAÇÃO IRAJÁ,0.4,24.88,95.82,0.07,29.24,0.55,1.81,31.05,16.9,32.0,16.0,-22.8316208,-43.3268447
2012-01-01 22:30:00,ESTAÇÃO IRAJÁ,9.2,24.39,96.29,0.0,27.86,0.41,1.52,29.38,19.58,26.4,12.8,-22.8316208,-43.3268447
2012-01-01 23:30:00,ESTAÇÃO IRAJÁ,32.0,23.56,100.0,0.0,25.37,0.38,1.21,26.58,20.86,20.8,9.600000000000001,-22.8316208,-43.3268447
2012-01-02 00:30:00,ESTAÇÃO IRAJÁ,2.4,23.5,100.0,0.0,24.79,0.37,0.92,25.7,19.37,15.2,6.4,-22.8316208,-43.3268447
2012-01-02 01:30:00,ESTAÇÃO IRAJÁ,2.4,23.27,100.0,0.74,12.91,0.25,0.27,13.18,17.05,9.600000000000001,3.200000000000001,-22.8316208,-43.3268447
