data,no,no2,so2,pm2_5,nox,ur,temp,o3,co,pm10,chuva,aqi,qualidade_do_ar
2012-01-01,,,,,,93.81458333333335,25.039583333333336,39.746249999999996,,18.5,39.0,20,N1 - Boa
2012-01-02,,,,,,93.03166666666665,23.057083333333335,41.61708333333333,,9.583333333333334,21.2,21,N1 - Boa
2012-01-03,,,,,,84.23105263157895,23.503684210526316,17.3775,,20.764705882352942,0.0,19,N1 - Boa
2012-01-04,,,,,,78.87458333333333,25.042708333333334,36.619166666666665,,30.583333333333332,0.0,28,N1 - Boa
2012-01-05,,,,,,78.44624999999999,25.794,49.009,,28.08695652173913,0.0,33,N1 - Boa
2012-01-06,,,,,,82.7813888888889,24.778888888888886,50.095555555555556,,21.833333333333332,5.6000000000000005,21,N1 - Boa
2012-01-07,,,,,,75.01447916666667,26.845208333333332,57.89416666666667,,14.380952380952381,0.0,36,N1 - Boa
2012-01-08,,,,,,83.84083333333334,25.990416666666665,54.469166666666666,,30.229166666666668,13.8,38,N1 - Boa
2012-01-09,,,,,,80.90791666666667,25.583541666666665,34.02395833333333,,12.416666666666666,0.0,22,N1 - Boa
2012-01-10,,,,,,84.85208333333334,24.702916666666667,26.590416666666666,,20.6875,19.2,19,N1 - Boa
2012-01-11,,,,,,86.19375000000001,25.60625,40.568333333333335,,28.520833333333332,0.0,34,N1 - Boa
2012-01-12,,,,,,73.26833333333333,27.875833333333333,34.970416666666665,,34.125,0.0,30,N1 - Boa
2012-01-13,,,,,,65.49882352941177,29.57764705882353,33.43764705882353,,30.11111111111111,0.4,27,N1 - Boa
2012-01-14,,,,,,51.60125,32.783125,52.3475,,29.0,0.0,26,N1 - Boa
2012-01-15,,,,,,61.5925,30.299166666666665,47.412083333333335,,16.333333333333332,0.2,28,N1 - Boa
2012-01-16,,,,,,85.02833333333334,26.860833333333332,49.35666666666666,,17.583333333333332,7.4,30,N1 - Boa
2012-01-17,,,,,,83.24,27.166666666666668,54.455000000000005,,34.208333333333336,0.0,49,N2 - Moderada
2012-01-18,,,,,,82.00791666666667,27.152916666666666,69.99583333333334,,34.625,0.0,45,N2 - Moderada
2012-01-19,,,,,,81.25916666666667,27.085416666666664,62.439166666666665,,36.208333333333336,3.4000000000000004,39,N1 - Boa
2012-01-20,,,,,,76.91854166666667,26.907291666666666,59.358958333333334,,29.375,0.0,37,N1 - Boa
