data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2012-01-01 00:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.2,27.14,99.82,8.41,,0.17,,,10.95,49.0,,-22.89777109,-43.22174541
2012-01-01 01:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.4,27.01,99.82,4.77,,0.21,,,10.01,27.0,,-22.89777109,-43.22174541
2012-01-01 02:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.0,26.63,99.81,4.31,,0.25,,,3.63,32.0,,-22.89777109,-43.22174541
2012-01-01 03:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.0,26.53,99.82,3.41,,0.18,,,1.92,13.0,,-22.89777109,-43.22174541
2012-01-01 04:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.2,26.62,99.81,4.56,,0.18,,,3.8,9.0,,-22.89777109,-43.22174541
2012-01-01 05:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.0,26.68,99.81,2.17,,0.22,,,6.73,16.0,,-22.89777109,-43.22174541
2012-01-01 06:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.4,27.01,99.83,0.92,,0.22,,,6.39,11.0,,-22.89777109,-43.22174541
2012-01-01 07:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.2,27.54,99.83,1.17,,0.2,,,6.93,9.0,,-22.89777109,-43.22174541
2012-01-01 08:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.2,28.3,99.08,4.61,,0.19,,,5.87,18.0,,-22.89777109,-43.22174541
2012-01-01 09:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.0,30.85,89.86,10.05,,0.13,,,21.38,9.0,,-22.89777109,-43.22174541
2012-01-01 10:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.0,31.92,84.81,8.71,,0.11,,,28.82,9.0,,-22.89777109,-43.22174541
2012-01-01 11:30:00,ESTAÇÃO SÃO CRISTÓVÃO,1.2,31.56,89.56,7.82,,0.29,,,14.12,9.0,,-22.89777109,-43.22174541
2012-01-01 12:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.2,30.48,96.56,4.97,,0.34,,,28.01,10.0,,-22.89777109,-43.22174541
2012-01-01 13:30:00,ESTAÇÃO SÃO CRISTÓVÃO,1.8,29.64,99.57,2.87,,0.51,,,35.74,8.0,,-22.89777109,-43.22174541
2012-01-01 14:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.8,29.52,99.47,1.73,,0.62,,,26.79,24.0,,-22.89777109,-43.22174541
2012-01-01 15:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.4,29.62,98.59,4.95,,0.41,,,32.53,33.0,,-22.89777109,-43.22174541
2012-01-01 16:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.2,28.96,99.83,14.79,,0.37,,,24.45,28.0,,-22.89777109,-43.22174541
2012-01-01 17:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.0,29.08,99.75,23.09,,0.44,,,16.71,18.0,,-22.89777109,-43.22174541
2012-01-01 18:30:00,ESTAÇÃO SÃO CRISTÓVÃO,0.2,28.87,99.83,14.08,,0.49,,,7.54,27.0,,-22.89777109,-43.22174541
