data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2012-01-01 00:30:00,ESTAÇÃO TIJUCA,0.0,21.47,98.4,1.51,,0.06,,,24.55,36.0,,-22.92491534,-43.23265652
2012-01-01 01:30:00,ESTAÇÃO TIJUCA,0.2,21.36,98.41,1.89,,0.08,,,19.0,40.0,,-22.92491534,-43.23265652
2012-01-01 02:30:00,ESTAÇÃO TIJUCA,0.0,21.2,98.41,1.7,,0.07,,,18.05,29.0,,-22.92491534,-43.23265652
2012-01-01 03:30:00,ESTAÇÃO TIJUCA,0.0,21.18,98.41,1.55,,0.12,,,12.25,12.0,,-22.92491534,-43.23265652
2012-01-01 04:30:00,ESTAÇÃO TIJUCA,0.2,21.16,98.4,1.5,,0.05,,,13.14,24.0,,-22.92491534,-43.23265652
2012-01-01 05:30:00,ESTAÇÃO TIJUCA,0.0,21.21,98.41,0.94,,0.06,,,13.55,15.0,,-22.92491534,-43.23265652
2012-01-01 06:30:00,ESTAÇÃO TIJUCA,0.2,21.46,98.41,1.45,,0.05,,,9.6,9.0,,-22.92491534,-43.23265652
2012-01-01 07:30:00,ESTAÇÃO TIJUCA,0.2,21.95,98.43,1.38,,0.03,,,8.88,16.0,,-22.92491534,-43.23265652
2012-01-01 08:30:00,ESTAÇÃO TIJUCA,0.2,23.18,97.07,2.05,,0.04,,,8.25,15.0,,-22.92491534,-43.23265652
2012-01-01 09:30:00,ESTAÇÃO TIJUCA,0.0,28.5,78.13,2.65,,0.02,,,15.61,15.0,,-22.92491534,-43.23265652
2012-01-01 10:30:00,ESTAÇÃO TIJUCA,0.0,27.58,80.5,3.61,,0.03,,,17.9,16.0,,-22.92491534,-43.23265652
2012-01-01 11:30:00,ESTAÇÃO TIJUCA,1.0,26.51,86.17,3.66,,0.08,,,16.24,11.0,,-22.92491534,-43.23265652
2012-01-01 12:30:00,ESTAÇÃO TIJUCA,0.4,24.39,93.95,3.2,,0.11,,,18.87,9.0,,-22.92491534,-43.23265652
2012-01-01 13:30:00,ESTAÇÃO TIJUCA,0.6,23.61,97.95,2.81,,0.25,,,16.33,16.0,,-22.92491534,-43.23265652
2012-01-01 14:30:00,ESTAÇÃO TIJUCA,0.2,23.68,94.97,2.02,,0.1,,,18.95,24.0,,-22.92491534,-43.23265652
2012-01-01 15:30:00,ESTAÇÃO TIJUCA,0.2,24.45,95.04,2.15,,0.19,,,14.09,20.0,,-22.92491534,-43.23265652
2012-01-01 16:30:00,ESTAÇÃO TIJUCA,0.0,23.61,98.42,9.94,,0.21,,,13.4,24.0,,-22.92491534,-43.23265652
2012-01-01 17:30:00,ESTAÇÃO TIJUCA,0.0,23.31,98.43,19.74,,0.38,,,3.34,30.0,,-22.92491534,-43.23265652
2012-01-01 18:30:00,ESTAÇÃO TIJUCA,0.0,23.02,98.42,9.32,,0.45,,,5.3,35.0,,-22.92491534,-43.23265652
2012-01-01 19:30:00,ESTAÇÃO TIJUCA,0.4,22.11,98.42,4.19,,0.16,,,5.8,32.0,,-22.92491534,-43.23265652
2012-01-01 20:30:00,ESTAÇÃO TIJUCA,0.0,21.85,98.41,2.79,,0.15,,,4.14,26.0,,-22.92491534,-43.23265652
2012-01-01 21:30:00,ESTAÇÃO TIJUCA,0.8,21.51,98.41,2.81,,0.1,,,15.95,19.0,,-22.92491534,-43.23265652
2012-01-01 22:30:00,ESTAÇÃO TIJUCA,0.2,21.31,98.25,1.43,,0.03,,,26.86,16.0,,-22.92491534,-43.23265652
2012-01-01 23:30:00,ESTAÇÃO TIJUCA,3.4,20.81,98.41,1.35,,0.03,,,24.66,7.0,,-22.92491534,-43.23265652
2012-01-02 00:30:00,ESTAÇÃO TIJUCA,1.4,20.39,98.41,1.27,,0.04,,,21.71,10.0,,-22.92491534,-43.23265652
2012-01-02 01:30:00,ESTAÇÃO TIJUCA,0.4,20.33,98.41,1.09,,0.03,,,20.53,3.0,,-22.92491534,-43.23265652
2012-01-02 02:30:00,ESTAÇÃO TIJUCA,0.2,20.35,98.05,0.96,,0.02,,,21.22,13.0,,-22.92491534,-43.23265652
2012-01-02 03:30:00,ESTAÇÃO TIJUCA,0.6,20.23,97.94,1.0,,0.03,,,20.44,15.0,,-22.92491534,-43.23265652
2012-01-02 04:30:00,ESTAÇÃO TIJUCA,0.2,19.98,98.09,0.8,,0.03,,,19.25,17.0,,-22.92491534,-43.23265652
2012-01-02 05:30:00,ESTAÇÃO TIJUCA,1.0,19.52,98.37,0.93,,0.07,,,11.86,9.0,,-22.92491534,-43.23265652
2012-01-02 06:30:00,ESTAÇÃO TIJUCA,0.8,19.59,98.41,2.59,,0.2,,,0.61,12.0,,-22.92491534,-43.23265652
2012-01-02 07:30:00,ESTAÇÃO TIJUCA,2.4,19.57,98.41,4.77,,0.45,,,1.43,17.0,,-22.92491534,-43.23265652
2012-01-02 08:30:00,ESTAÇÃO TIJUCA,1.0,19.8,98.41,3.22,,0.42,,,3.3,9.0,,-22.92491534,-43.23265652
2012-01-02 09:30:00,ESTAÇÃO TIJUCA,1.6,19.68,98.41,3.1,,0.37,,,4.56,18.0,,-22.92491534,-43.23265652
2012-01-02 10:30:00,ESTAÇÃO TIJUCA,1.6,19.54,98.4,2.75,,0.32,,,8.86,14.0,,-22.92491534,-43.23265652
2012-01-02 11:30:00,ESTAÇÃO TIJUCA,0.4,19.77,97.87,1.79,,0.21,,,15.76,19.0,,-22.92491534,-43.23265652
2012-01-02 12:30:00,ESTAÇÃO TIJUCA,0.0,19.9,98.39,1.51,,0.27,,,13.09,14.0,,-22.92491534,-43.23265652
2012-01-02 13:30:00,ESTAÇÃO TIJUCA,0.0,21.59,95.86,2.85,,0.34,,,9.89,14.0,,-22.92491534,-43.23265652
2012-01-02 14:30:00,ESTAÇÃO TIJUCA,0.2,21.32,97.33,8.06,,0.55,,,2.88,23.0,,-22.92491534,-43.23265652
2012-01-02 15:30:00,ESTAÇÃO TIJUCA,0.0,20.76,98.0,7.95,,0.44,,,2.27,16.0,,-22.92491534,-43.23265652
2012-01-02 16:30:00,ESTAÇÃO TIJUCA,0.6,19.8,98.42,7.83,,0.54,,,1.7,29.0,,-22.92491534,-43.23265652
2012-01-02 17:30:00,ESTAÇÃO TIJUCA,1.2,19.44,98.42,4.07,,0.59,,,2.07,22.0,,-22.92491534,-43.23265652
2012-01-02 18:30:00,ESTAÇÃO TIJUCA,0.6,19.17,98.41,4.49,,0.55,,,0.02,18.0,,-22.92491534,-43.23265652
2012-01-02 19:30:00,ESTAÇÃO TIJUCA,0.4,18.61,98.41,3.0,,0.36,,,7.5,21.0,,-22.92491534,-43.23265652
2012-01-02 20:30:00,ESTAÇÃO TIJUCA,0.0,18.62,98.41,2.33,,0.35,,,5.83,22.0,,-22.92491534,-43.23265652
2012-01-02 21:30:00,ESTAÇÃO TIJUCA,0.0,18.89,98.42,2.4,,0.43,,,1.41,19.0,,-22.92491534,-43.23265652
2012-01-02 22:30:00,ESTAÇÃO TIJUCA,0.0,19.14,98.42,8.33,,0.33,,,0.0,23.0,,-22.92491534,-43.23265652
2012-01-02 23:30:00,ESTAÇÃO TIJUCA,0.0,19.06,98.41,5.915,,0.25,,,0.0,25.0,,-22.92491534,-43.23265652
2012-01-03 00:30:00,ESTAÇÃO TIJUCA,0.0,19.06,98.42,3.5,,0.1,,,0.78,22.0,,-22.92491534,-43.23265652
2012-01-03 01:30:00,ESTAÇÃO TIJUCA,0.0,18.9,98.42,2.51,,0.04,,,5.02,17.0,,-22.92491534,-43.23265652
2012-01-03 02:30:00,ESTAÇÃO TIJUCA,0.0,18.36,98.41,2.68,,0.02,,,7.3,15.0,,-22.92491534,-43.23265652
2012-01-03 03:30:00,ESTAÇÃO TIJUCA,0.0,18.03,98.42,2.7,,0.04,,,4.93,11.0,,-22.92491534,-43.23265652
2012-01-03 04:30:00,ESTAÇÃO TIJUCA,0.0,17.83,98.4,1.7,,0.04,,,3.71,21.0,,-22.92491534,-43.23265652
2012-01-03 05:30:00,ESTAÇÃO TIJUCA,0.0,17.78,98.41,1.6,,0.04,,,1.8,22.0,,-22.92491534,-43.23265652
2012-01-03 06:30:00,ESTAÇÃO TIJUCA,0.0,18.45,98.13,2.33,,0.08,,,2.0,26.0,,-22.92491534,-43.23265652
2012-01-03 07:30:00,ESTAÇÃO TIJUCA,0.0,20.61,89.16,3.6,,0.07,,,5.92,29.0,,-22.92491534,-43.23265652
2012-01-03 08:30:00,ESTAÇÃO TIJUCA,0.0,23.04,79.93,4.16,,0.22,,,6.28,22.0,,-22.92491534,-43.23265652
2012-01-03 09:30:00,ESTAÇÃO TIJUCA,0.0,28.21,64.82,9.78,,0.39,,,8.72,31.0,,-22.92491534,-43.23265652
2012-01-03 10:30:00,ESTAÇÃO TIJUCA,0.0,31.3,57.61,35.71,,0.38,,,6.6,46.0,,-22.92491534,-43.23265652
2012-01-03 11:30:00,ESTAÇÃO TIJUCA,0.0,30.81,56.63,25.36,,0.21,,,11.37,46.0,,-22.92491534,-43.23265652
2012-01-03 12:30:00,ESTAÇÃO TIJUCA,0.0,30.58,55.14,9.61,,0.13,,,21.26,41.0,,-22.92491534,-43.23265652
2012-01-03 13:30:00,ESTAÇÃO TIJUCA,0.0,31.99,51.91,5.42,,0.13,,,24.38,34.0,,-22.92491534,-43.23265652
2012-01-03 14:30:00,ESTAÇÃO TIJUCA,0.0,30.99,53.83,2.93,,0.09,,,28.55,26.0,,-22.92491534,-43.23265652
2012-01-03 15:30:00,ESTAÇÃO TIJUCA,0.0,29.91,55.45,2.13,,0.08,,,24.67,20.0,,-22.92491534,-43.23265652
2012-01-03 16:30:00,ESTAÇÃO TIJUCA,0.0,29.14,55.95,1.69,,0.11,,,21.4,26.0,,-22.92491534,-43.23265652
2012-01-03 17:30:00,ESTAÇÃO TIJUCA,0.0,27.05,60.9,1.51,,0.15,,,19.86,24.0,,-22.92491534,-43.23265652
2012-01-03 18:30:00,ESTAÇÃO TIJUCA,0.0,25.81,61.19,1.57,,0.14,,,14.04,33.0,,-22.92491534,-43.23265652
2012-01-03 19:30:00,ESTAÇÃO TIJUCA,0.0,24.07,67.75,0.92,,0.22,,,8.68,22.0,,-22.92491534,-43.23265652
2012-01-03 20:30:00,ESTAÇÃO TIJUCA,0.0,23.52,66.6,0.56,,0.19,,,9.71,28.0,,-22.92491534,-43.23265652
2012-01-03 21:30:00,ESTAÇÃO TIJUCA,0.0,23.14,69.61,0.24,,0.23,,,7.21,20.0,,-22.92491534,-43.23265652
2012-01-03 22:30:00,ESTAÇÃO TIJUCA,0.0,22.64,71.59,0.06,,0.09,,,5.72,26.0,,-22.92491534,-43.23265652
2012-01-03 23:30:00,ESTAÇÃO TIJUCA,0.0,22.19,73.37,0.35000000000000003,,0.06,,,7.18,19.0,,-22.92491534,-43.23265652
2012-01-04 00:30:00,ESTAÇÃO TIJUCA,0.0,21.65,77.04,0.64,,0.04,,,5.15,18.0,,-22.92491534,-43.23265652
2012-01-04 01:30:00,ESTAÇÃO TIJUCA,0.0,21.12,80.48,0.38,,0.04,,,6.36,20.0,,-22.92491534,-43.23265652
2012-01-04 02:30:00,ESTAÇÃO TIJUCA,0.0,21.03,82.05,0.52,,0.05,,,4.79,17.0,,-22.92491534,-43.23265652
2012-01-04 03:30:00,ESTAÇÃO TIJUCA,0.0,20.8,84.2,0.85,,0.04,,,5.22,24.0,,-22.92491534,-43.23265652
2012-01-04 04:30:00,ESTAÇÃO TIJUCA,0.0,20.68,86.2,1.2,,0.06,,,1.76,23.0,,-22.92491534,-43.23265652
2012-01-04 05:30:00,ESTAÇÃO TIJUCA,0.0,20.39,89.17,1.32,,0.06,,,3.15,21.0,,-22.92491534,-43.23265652
2012-01-04 06:30:00,ESTAÇÃO TIJUCA,0.0,21.34,86.21,4.01,,0.21,,,1.67,23.0,,-22.92491534,-43.23265652
2012-01-04 07:30:00,ESTAÇÃO TIJUCA,0.0,23.73,82.66,15.53,,0.53,,,0.84,27.0,,-22.92491534,-43.23265652
2012-01-04 08:30:00,ESTAÇÃO TIJUCA,0.0,25.19,76.78,12.32,,0.3,,,4.81,52.0,,-22.92491534,-43.23265652
2012-01-04 09:30:00,ESTAÇÃO TIJUCA,0.0,27.98,67.08,5.0,,0.14,,,15.802,47.0,,-22.92491534,-43.23265652
2012-01-04 10:30:00,ESTAÇÃO TIJUCA,0.0,29.59,63.37,3.84,,0.1366666666666667,,,26.794,35.0,,-22.92491534,-43.23265652
2012-01-04 11:30:00,ESTAÇÃO TIJUCA,0.0,28.3,68.96,2.995,,0.13333333333333333,,,37.786,31.0,,-22.92491534,-43.23265652
2012-01-04 12:30:00,ESTAÇÃO TIJUCA,0.0,31.49,58.94,2.15,,0.13,,,48.778000000000006,35.0,,-22.92491534,-43.23265652
2012-01-04 13:30:00,ESTAÇÃO TIJUCA,0.0,34.36,50.64,1.3049999999999997,,0.16,,,59.77,34.0,,-22.92491534,-43.23265652
2012-01-04 14:30:00,ESTAÇÃO TIJUCA,0.0,33.03,54.52,0.46,,0.22,,,65.47,33.0,,-22.92491534,-43.23265652
2012-01-04 15:30:00,ESTAÇÃO TIJUCA,0.0,33.05,52.83,0.55,,0.26,,,48.4,15.0,,-22.92491534,-43.23265652
2012-01-04 16:30:00,ESTAÇÃO TIJUCA,0.0,31.57,55.81,0.03,,0.3,,,28.54,30.0,,-22.92491534,-43.23265652
2012-01-04 17:30:00,ESTAÇÃO TIJUCA,0.0,29.25,60.19,0.76,,0.23,,,18.16,15.0,,-22.92491534,-43.23265652
2012-01-04 18:30:00,ESTAÇÃO TIJUCA,0.0,25.94,69.39,0.96,,0.22,,,30.93,35.0,,-22.92491534,-43.23265652
2012-01-04 19:30:00,ESTAÇÃO TIJUCA,0.0,24.75,76.26,0.58,,0.18,,,26.89,30.0,,-22.92491534,-43.23265652
2012-01-04 20:30:00,ESTAÇÃO TIJUCA,0.0,24.57,78.71,0.45,,0.29,,,15.91,29.0,,-22.92491534,-43.23265652
2012-01-04 21:30:00,ESTAÇÃO TIJUCA,0.0,23.68,82.37,0.55,,0.26,,,19.97,36.0,,-22.92491534,-43.23265652
2012-01-04 22:30:00,ESTAÇÃO TIJUCA,0.0,22.64,86.1,0.4,,0.2,,,12.91,26.0,,-22.92491534,-43.23265652
2012-01-04 23:30:00,ESTAÇÃO TIJUCA,0.0,21.91,88.69,0.835,,0.14,,,13.51,31.0,,-22.92491534,-43.23265652
2012-01-05 00:30:00,ESTAÇÃO TIJUCA,0.0,21.2,91.64,1.27,,0.04,,,4.63,30.0,,-22.92491534,-43.23265652
2012-01-05 01:30:00,ESTAÇÃO TIJUCA,0.0,20.95,92.51,1.53,,0.02,,,9.3,31.0,,-22.92491534,-43.23265652
2012-01-05 02:30:00,ESTAÇÃO TIJUCA,0.0,21.02,92.38,1.34,,0.03,,,7.69,27.0,,-22.92491534,-43.23265652
2012-01-05 03:30:00,ESTAÇÃO TIJUCA,0.0,20.26,94.85,1.35,,0.01,,,19.08,26.0,,-22.92491534,-43.23265652
