data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2016-12-01 00:30:00,UNIDADE MOVEL BANGU,0.0,21.18,70.68,0.32,,0.05,,,24.08,,6.0,-22.87140046,-43.45942235
2016-12-01 01:30:00,UNIDADE MOVEL BANGU,0.0,21.08,69.97,0.38,,0.04,,,25.19,,11.0,-22.87140046,-43.45942235
2016-12-01 02:30:00,UNIDADE MOVEL BANGU,0.0,20.48,74.07,0.24,,0.03,,,19.59,,10.0,-22.87140046,-43.45942235
2016-12-01 03:30:00,UNIDADE MOVEL BANGU,0.0,20.12,78.17,0.31,,0.04,,,14.02,,5.0,-22.87140046,-43.45942235
2016-12-01 04:30:00,UNIDADE MOVEL BANGU,0.0,20.07,78.18,0.09,,0.04,,,8.09,,2.0,-22.87140046,-43.45942235
2016-12-01 05:30:00,UNIDADE MOVEL BANGU,0.0,20.23,76.08,0.59,,0.08,,,1.23,,1.0,-22.87140046,-43.45942235
2016-12-01 06:30:00,UNIDADE MOVEL BANGU,0.0,20.93,76.57,1.1,,0.23,,,2.35,,8.0,-22.87140046,-43.45942235
2016-12-01 07:30:00,UNIDADE MOVEL BANGU,0.0,22.58,64.83,0.94,,0.17,,,9.21,,18.0,-22.87140046,-43.45942235
2016-12-01 08:30:00,UNIDADE MOVEL BANGU,0.0,23.73,55.9,1.24,,0.11,,,15.59,,6.0,-22.87140046,-43.45942235
2016-12-01 09:30:00,UNIDADE MOVEL BANGU,0.0,24.9,50.53,1.05,,0.18,,,26.06,,9.0,-22.87140046,-43.45942235
2016-12-01 10:30:00,UNIDADE MOVEL BANGU,0.0,25.4,49.25,0.87,,0.26,,,34.27,,15.0,-22.87140046,-43.45942235
2016-12-01 11:30:00,UNIDADE MOVEL BANGU,0.0,26.22,48.42,1.54,,0.3,,,33.51,,13.0,-22.87140046,-43.45942235
2016-12-01 12:30:00,UNIDADE MOVEL BANGU,0.0,27.42,43.08,0.79,,0.19,,,47.01,,14.0,-22.87140046,-43.45942235
2016-12-01 13:30:00,UNIDADE MOVEL BANGU,0.0,25.97,49.22,1.67,,0.19,,,40.52,,10.0,-22.87140046,-43.45942235
2016-12-01 14:30:00,UNIDADE MOVEL BANGU,0.0,25.15,52.32,1.81,,0.21,,,40.5,,4.0,-22.87140046,-43.45942235
2016-12-01 15:30:00,UNIDADE MOVEL BANGU,0.0,24.55,53.78,1.98,,0.2,,,35.29,,0.0,-22.87140046,-43.45942235
2016-12-01 16:30:00,UNIDADE MOVEL BANGU,0.0,24.32,51.57,2.0,,0.26,,,31.59,,1.0,-22.87140046,-43.45942235
2016-12-01 17:30:00,UNIDADE MOVEL BANGU,0.0,23.9,51.2,2.15,,0.27,,,24.9,,12.0,-22.87140046,-43.45942235
2016-12-01 18:30:00,UNIDADE MOVEL BANGU,0.0,23.27,51.93,2.04,,0.29,,,20.93,,7.0,-22.87140046,-43.45942235
2016-12-01 19:30:00,UNIDADE MOVEL BANGU,0.0,23.03,53.5,1.94,,0.28,,,17.41,,0.0,-22.87140046,-43.45942235
2016-12-01 20:30:00,UNIDADE MOVEL BANGU,0.0,22.93,52.33,1.87,,0.24,,,17.46,,4.0,-22.87140046,-43.45942235
2016-12-01 21:30:00,UNIDADE MOVEL BANGU,0.0,22.88,55.53,1.78,,0.27,,,9.69,,5.0,-22.87140046,-43.45942235
2016-12-01 22:30:00,UNIDADE MOVEL BANGU,0.0,22.6,56.82,1.58,,0.2,,,14.02,,5.0,-22.87140046,-43.45942235
2016-12-01 23:30:00,UNIDADE MOVEL BANGU,0.0,22.35,55.97,1.04,,0.13,,,19.83,,8.0,-22.87140046,-43.45942235
2016-12-02 00:30:00,UNIDADE MOVEL BANGU,0.0,22.15,57.35,0.5,,0.03,,,20.23,,3.0,-22.87140046,-43.45942235
2016-12-02 01:30:00,UNIDADE MOVEL BANGU,0.0,21.97,58.85,0.11,,0.02,,,23.02,,3.0,-22.87140046,-43.45942235
2016-12-02 02:30:00,UNIDADE MOVEL BANGU,0.0,21.82,60.85,0.0,,0.01,,,23.06,,8.0,-22.87140046,-43.45942235
2016-12-02 03:30:00,UNIDADE MOVEL BANGU,0.0,21.65,62.83,0.2,,0.01,,,17.75,,6.0,-22.87140046,-43.45942235
2016-12-02 04:30:00,UNIDADE MOVEL BANGU,0.0,21.57,66.1,0.08,,0.02,,,16.25,,7.0,-22.87140046,-43.45942235
2016-12-02 05:30:00,UNIDADE MOVEL BANGU,0.0,21.67,67.72,0.01,,0.24,,,12.17,,4.0,-22.87140046,-43.45942235
2016-12-02 06:30:00,UNIDADE MOVEL BANGU,0.0,22.12,66.37,0.0,,0.15,,,9.55,,5.0,-22.87140046,-43.45942235
2016-12-02 07:30:00,UNIDADE MOVEL BANGU,0.0,22.45,64.68,0.1,,0.14,,,7.79,,3.0,-22.87140046,-43.45942235
2016-12-02 08:30:00,UNIDADE MOVEL BANGU,0.0,23.92,59.63,0.0,,0.12,,,12.69,,12.0,-22.87140046,-43.45942235
2016-12-02 09:30:00,UNIDADE MOVEL BANGU,0.0,25.75,53.32,0.0,,0.17,,,22.3,,8.0,-22.87140046,-43.45942235
2016-12-02 10:30:00,UNIDADE MOVEL BANGU,0.0,27.02,49.65,0.47,,0.16,,,31.21,,8.0,-22.87140046,-43.45942235
2016-12-02 11:30:00,UNIDADE MOVEL BANGU,0.0,27.7,47.35,1.06,,0.13,,,42.62,,13.0,-22.87140046,-43.45942235
2016-12-02 12:30:00,UNIDADE MOVEL BANGU,0.0,28.4,44.82,1.79,,0.11,,,54.3,,9.0,-22.87140046,-43.45942235
2016-12-02 13:30:00,UNIDADE MOVEL BANGU,0.0,28.28,48.7,2.31,,0.1,,,43.59,,6.0,-22.87140046,-43.45942235
2016-12-02 14:30:00,UNIDADE MOVEL BANGU,0.0,28.05,49.02,2.06,,0.08,,,53.4,,6.0,-22.87140046,-43.45942235
