data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2013-02-21 11:30:00,UNIDADE MOVEL CAJU,0.0,34.05,46.15,,,,,,,,,-22.87584467,-43.22249392
2013-02-21 12:30:00,UNIDADE MOVEL CAJU,0.0,35.23,39.25,22.11,,0.0,,,0.0,,,-22.87584467,-43.22249392
2013-02-21 13:30:00,UNIDADE MOVEL CAJU,0.0,36.37,36.43,27.97,,0.0,,,0.0,,,-22.87584467,-43.22249392
2013-02-21 14:30:00,UNIDADE MOVEL CAJU,0.0,37.92,31.6,31.52,,0.0,,,0.0,,,-22.87584467,-43.22249392
2013-02-21 15:30:00,UNIDADE MOVEL CAJU,0.0,37.88,35.57,33.75,,0.0,,,0.0,,11.0,-22.87584467,-43.22249392
2013-02-21 16:30:00,UNIDADE MOVEL CAJU,0.0,36.27,40.57,29.75,,0.0,,,0.0,,11.0,-22.87584467,-43.22249392
2013-02-21 17:30:00,UNIDADE MOVEL CAJU,0.0,35.12,43.05,26.87,,0.0,,,0.0,,10.0,-22.87584467,-43.22249392
2013-02-21 18:30:00,UNIDADE MOVEL CAJU,0.0,33.15,47.93,25.21,,0.0,,,0.0,,8.0,-22.87584467,-43.22249392
2013-02-21 19:30:00,UNIDADE MOVEL CAJU,0.0,32.1,53.37,20.05,,0.0,,,0.0,,23.0,-22.87584467,-43.22249392
2013-02-21 20:30:00,UNIDADE MOVEL CAJU,0.0,31.116666666666667,57.64,17.116666666666667,,0.0,,,0.0,,13.0,-22.87584467,-43.22249392
2013-02-21 21:30:00,UNIDADE MOVEL CAJU,0.0,30.133333333333333,61.910000000000004,14.183333333333334,,0.0,,,0.0,,9.0,-22.87584467,-43.22249392
2013-02-21 22:30:00,UNIDADE MOVEL CAJU,0.0,29.15,66.18,11.25,,0.0,,,0.0,,11.25,-22.87584467,-43.22249392
2013-02-21 23:30:00,UNIDADE MOVEL CAJU,0.0,28.55,68.35,9.51,,0.0,,,0.0,,13.5,-22.87584467,-43.22249392
2013-02-22 00:30:00,UNIDADE MOVEL CAJU,0.0,27.87,69.78,6.29,,0.0,,,0.0,,15.75,-22.87584467,-43.22249392
2013-02-22 01:30:00,UNIDADE MOVEL CAJU,0.0,27.55,70.72,3.07,,0.0,,,0.0,,18.0,-22.87584467,-43.22249392
2013-02-22 02:30:00,UNIDADE MOVEL CAJU,0.0,27.22,71.78,4.65,,0.0,,,0.0,,18.0,-22.87584467,-43.22249392
2013-02-22 03:30:00,UNIDADE MOVEL CAJU,0.0,26.65,74.72,5.25,,0.0,,,0.0,,9.0,-22.87584467,-43.22249392
2013-02-22 04:30:00,UNIDADE MOVEL CAJU,0.0,26.2,75.43,6.18,,0.0,,,0.0,,6.0,-22.87584467,-43.22249392
2013-02-22 05:30:00,UNIDADE MOVEL CAJU,0.0,25.95,77.85,5.52,,0.0,,,0.0,,2.0,-22.87584467,-43.22249392
2013-02-22 06:30:00,UNIDADE MOVEL CAJU,0.0,26.23,75.73,4.46,,0.0,,,0.0,,4.0,-22.87584467,-43.22249392
2013-02-22 07:30:00,UNIDADE MOVEL CAJU,0.0,27.52,70.23,6.15,,0.0,,,0.0,,5.0,-22.87584467,-43.22249392
2013-02-22 08:30:00,UNIDADE MOVEL CAJU,0.0,30.37,60.73,6.14,,0.0,,,0.0,,16.0,-22.87584467,-43.22249392
2013-02-22 09:30:00,UNIDADE MOVEL CAJU,0.0,32.27,55.58,14.4,,0.0,,,0.0,,31.0,-22.87584467,-43.22249392
2013-02-22 10:30:00,UNIDADE MOVEL CAJU,0.0,33.57,51.32,30.18,,0.025,,,24.455,,31.0,-22.87584467,-43.22249392
2013-02-22 11:30:00,UNIDADE MOVEL CAJU,0.0,35.23,45.4,0.0,,0.05,,,48.91,,28.0,-22.87584467,-43.22249392
2013-02-22 12:30:00,UNIDADE MOVEL CAJU,0.0,36.5,40.4,0.0,,0.12,,,74.94,,25.0,-22.87584467,-43.22249392
2013-02-22 13:30:00,UNIDADE MOVEL CAJU,0.0,36.87,41.65,8.37,,0.05999999999999999,,,64.32,,22.0,-22.87584467,-43.22249392
2013-02-22 14:30:00,UNIDADE MOVEL CAJU,0.0,37.23,38.13,16.74,,0.0,,,51.68,,24.0,-22.87584467,-43.22249392
2013-02-22 15:30:00,UNIDADE MOVEL CAJU,0.0,35.9,42.87,6.17,,0.125,,,62.96,,29.5,-22.87584467,-43.22249392
2013-02-22 16:30:00,UNIDADE MOVEL CAJU,0.0,34.72,45.22,0.0,,0.25,,,77.95,,35.0,-22.87584467,-43.22249392
2013-02-22 17:30:00,UNIDADE MOVEL CAJU,0.0,32.92,54.85,0.0,,0.15,,,54.99,,31.0,-22.87584467,-43.22249392
2013-02-22 18:30:00,UNIDADE MOVEL CAJU,0.0,30.95,63.37,0.0,,0.15,,,31.91,,12.0,-22.87584467,-43.22249392
2013-02-22 19:30:00,UNIDADE MOVEL CAJU,0.0,30.45,66.57,0.0,,0.2,,,11.48,,20.0,-22.87584467,-43.22249392
2013-02-22 20:30:00,UNIDADE MOVEL CAJU,0.0,29.95,69.23,0.0,,0.31,,,8.21,,22.0,-22.87584467,-43.22249392
2013-02-22 21:30:00,UNIDADE MOVEL CAJU,0.0,29.43,71.32,0.0,,0.31,,,14.28,,12.0,-22.87584467,-43.22249392
2013-02-22 22:30:00,UNIDADE MOVEL CAJU,0.0,29.23,72.23,0.0,,0.29,,,8.27,,13.0,-22.87584467,-43.22249392
2013-02-22 23:30:00,UNIDADE MOVEL CAJU,0.0,28.88,72.43,0.0,,0.19,,,3.82,,16.0,-22.87584467,-43.22249392
2013-02-23 00:30:00,UNIDADE MOVEL CAJU,0.0,28.5,71.27,0.695,,0.315,,,9.55,,16.0,-22.87584467,-43.22249392
2013-02-23 01:30:00,UNIDADE MOVEL CAJU,0.0,28.23,72.78,1.39,,0.44,,,9.85,,18.0,-22.87584467,-43.22249392
2013-02-23 02:30:00,UNIDADE MOVEL CAJU,0.0,27.97,74.43,1.09,,0.58,,,16.66,,21.0,-22.87584467,-43.22249392
2013-02-23 03:30:00,UNIDADE MOVEL CAJU,0.0,27.53,77.47,1.37,,0.71,,,15.07,,17.0,-22.87584467,-43.22249392
2013-02-23 04:30:00,UNIDADE MOVEL CAJU,0.0,27.32,79.03,1.97,,0.84,,,3.49,,18.0,-22.87584467,-43.22249392
2013-02-23 05:30:00,UNIDADE MOVEL CAJU,0.0,27.62,76.8,2.21,,1.69,,,8.19,,16.0,-22.87584467,-43.22249392
2013-02-23 06:30:00,UNIDADE MOVEL CAJU,0.0,28.1,73.92,2.42,,1.27,,,12.62,,17.0,-22.87584467,-43.22249392
2013-02-23 07:30:00,UNIDADE MOVEL CAJU,0.0,28.83,72.22,3.93,,1.44,,,8.21,,14.0,-22.87584467,-43.22249392
2013-02-23 08:30:00,UNIDADE MOVEL CAJU,0.0,29.87,64.95,5.87,,1.52,,,21.07,,25.0,-22.87584467,-43.22249392
2013-02-23 09:30:00,UNIDADE MOVEL CAJU,0.0,31.17,66.03,11.72,,1.56,,,20.68,,28.0,-22.87584467,-43.22249392
2013-02-23 10:30:00,UNIDADE MOVEL CAJU,0.0,32.05,62.68,19.79,,1.66,,,32.8,,46.0,-22.87584467,-43.22249392
2013-02-23 11:30:00,UNIDADE MOVEL CAJU,0.0,32.92,58.67,23.79,,1.33,,,54.46,,27.0,-22.87584467,-43.22249392
2013-02-23 12:30:00,UNIDADE MOVEL CAJU,0.0,33.92,55.67,35.59,,0.23,,,60.71,,25.0,-22.87584467,-43.22249392
2013-02-23 13:30:00,UNIDADE MOVEL CAJU,0.0,33.93,52.58,28.8,,0.17,,,53.36,,22.0,-22.87584467,-43.22249392
2013-02-23 14:30:00,UNIDADE MOVEL CAJU,0.0,31.7,56.78,29.64,,0.14,,,30.55,,15.0,-22.87584467,-43.22249392
2013-02-23 15:30:00,UNIDADE MOVEL CAJU,0.0,32.35,53.28,21.8,,0.16,,,39.6,,26.0,-22.87584467,-43.22249392
2013-02-23 16:30:00,UNIDADE MOVEL CAJU,0.0,33.02,50.37,25.79,,0.16,,,49.45,,10.0,-22.87584467,-43.22249392
2013-02-23 17:30:00,UNIDADE MOVEL CAJU,0.0,31.58,63.07,30.54,,0.18,,,28.92,,19.0,-22.87584467,-43.22249392
2013-02-23 18:30:00,UNIDADE MOVEL CAJU,0.0,28.8,72.77,15.8,,0.22,,,28.17,,16.0,-22.87584467,-43.22249392
2013-02-23 19:30:00,UNIDADE MOVEL CAJU,0.0,28.13,73.38,8.28,,0.31,,,20.35,,19.0,-22.87584467,-43.22249392
2013-02-23 20:30:00,UNIDADE MOVEL CAJU,0.0,28.07,70.28,5.44,,0.28,,,22.38,,18.0,-22.87584467,-43.22249392
2013-02-23 21:30:00,UNIDADE MOVEL CAJU,0.0,27.97,70.95,5.47,,0.37,,,20.9,,9.0,-22.87584467,-43.22249392
2013-02-23 22:30:00,UNIDADE MOVEL CAJU,0.0,27.62,69.72,4.84,,0.16,,,20.47,,17.0,-22.87584467,-43.22249392
2013-02-23 23:30:00,UNIDADE MOVEL CAJU,0.0,27.15,71.63,3.08,,0.18,,,16.87,,12.0,-22.87584467,-43.22249392
2013-02-24 00:30:00,UNIDADE MOVEL CAJU,0.0,26.78,77.57,4.78,,0.2,,,1.79,,16.0,-22.87584467,-43.22249392
2013-02-24 01:30:00,UNIDADE MOVEL CAJU,0.0,26.32,81.42,6.48,,0.14,,,5.41,,14.0,-22.87584467,-43.22249392
2013-02-24 02:30:00,UNIDADE MOVEL CAJU,0.0,26.35,80.48,8.1,,0.08,,,9.76,,18.0,-22.87584467,-43.22249392
2013-02-24 03:30:00,UNIDADE MOVEL CAJU,0.0,26.28,82.73,10.55,,0.1,,,0.35,,20.0,-22.87584467,-43.22249392
2013-02-24 04:30:00,UNIDADE MOVEL CAJU,0.0,25.87,85.07,15.27,,0.05,,,2.48,,26.0,-22.87584467,-43.22249392
2013-02-24 05:30:00,UNIDADE MOVEL CAJU,0.0,25.65,83.0,8.61,,0.01,,,0.63,,18.0,-22.87584467,-43.22249392
2013-02-24 06:30:00,UNIDADE MOVEL CAJU,0.0,25.7,82.48,5.78,,0.01,,,0.94,,15.0,-22.87584467,-43.22249392
2013-02-24 07:30:00,UNIDADE MOVEL CAJU,0.0,26.28,81.38,5.37,,0.02,,,6.58,,13.0,-22.87584467,-43.22249392
2013-02-24 08:30:00,UNIDADE MOVEL CAJU,0.0,28.05,74.42,5.04,,0.02,,,17.18,,17.0,-22.87584467,-43.22249392
2013-02-24 09:30:00,UNIDADE MOVEL CAJU,0.0,28.95,71.33,7.37,,0.03,,,22.84,,20.0,-22.87584467,-43.22249392
