data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2016-02-17 12:30:00,UNIDADE MOVEL CENTRO,0.0,28.66,71.01,0.92,,,,,5.29,,,-22.89956796,-43.17643071
2016-02-17 13:30:00,UNIDADE MOVEL CENTRO,0.0,30.76,56.5,0.0,,0.03,,,5.02,,,-22.89956796,-43.17643071
2016-02-17 14:30:00,UNIDADE MOVEL CENTRO,0.0,31.25,59.36,1.16,,0.19,,,11.36,,,-22.89956796,-43.17643071
2016-02-17 15:30:00,UNIDADE MOVEL CENTRO,0.0,29.91,66.83,0.58,,0.04,,,13.86,,,-22.89956796,-43.17643071
2016-02-17 16:30:00,UNIDADE MOVEL CENTRO,0.0,29.08,67.06,0.0,,0.05,,,11.51,,0.0,-22.89956796,-43.17643071
2016-02-17 17:30:00,UNIDADE MOVEL CENTRO,0.0,27.67,71.08,0.0,,0.01,,,5.92,,0.0,-22.89956796,-43.17643071
2016-02-17 18:30:00,UNIDADE MOVEL CENTRO,0.0,26.2,77.31,0.0,,0.01,,,3.71,,1.0,-22.89956796,-43.17643071
2016-02-17 19:30:00,UNIDADE MOVEL CENTRO,0.0,26.85,76.77,0.0,,0.0,,,3.21,,0.0,-22.89956796,-43.17643071
2016-02-17 20:30:00,UNIDADE MOVEL CENTRO,0.0,26.24,81.0,0.0,,0.0,,,3.13,,0.0,-22.89956796,-43.17643071
2016-02-17 21:30:00,UNIDADE MOVEL CENTRO,0.0,25.96,84.58,0.0,,0.01,,,3.62,,7.0,-22.89956796,-43.17643071
2016-02-17 22:30:00,UNIDADE MOVEL CENTRO,0.0,25.86,87.39,0.0,,0.0,,,3.04,,14.0,-22.89956796,-43.17643071
2016-02-17 23:30:00,UNIDADE MOVEL CENTRO,0.0,25.61,87.95,0.0,,0.03,,,2.63,,15.0,-22.89956796,-43.17643071
2016-02-18 00:30:00,UNIDADE MOVEL CENTRO,0.0,25.2,89.02,0.32,,0.11,,,5.03,,14.0,-22.89956796,-43.17643071
2016-02-18 01:30:00,UNIDADE MOVEL CENTRO,0.0,25.34,88.34,0.09,,0.07,,,9.33,,9.0,-22.89956796,-43.17643071
2016-02-18 02:30:00,UNIDADE MOVEL CENTRO,0.0,25.25,84.56,0.0,,0.01,,,3.53,,2.0,-22.89956796,-43.17643071
2016-02-18 03:30:00,UNIDADE MOVEL CENTRO,0.0,25.5,85.16,0.0,,0.01,,,2.87,,3.0,-22.89956796,-43.17643071
2016-02-18 04:30:00,UNIDADE MOVEL CENTRO,0.0,26.12,78.97,0.0,,0.01,,,2.9,,6.0,-22.89956796,-43.17643071
2016-02-18 05:30:00,UNIDADE MOVEL CENTRO,0.0,25.82,86.31,0.0,,0.0,,,3.28,,6.0,-22.89956796,-43.17643071
2016-02-18 06:30:00,UNIDADE MOVEL CENTRO,0.0,26.07,84.55,0.0,,0.0,,,2.69,,6.0,-22.89956796,-43.17643071
2016-02-18 07:30:00,UNIDADE MOVEL CENTRO,0.0,27.62,74.07,0.03,,0.06,,,2.76,,11.0,-22.89956796,-43.17643071
2016-02-18 08:30:00,UNIDADE MOVEL CENTRO,0.0,29.93,59.12,2.3,,0.12,,,2.74,,26.0,-22.89956796,-43.17643071
2016-02-18 09:30:00,UNIDADE MOVEL CENTRO,0.0,27.89,54.129999999999995,0.77,,0.01,,,2.79,,22.0,-22.89956796,-43.17643071
2016-02-18 10:30:00,UNIDADE MOVEL CENTRO,0.0,32.46,49.14,4.39,,0.67,,,4.93,,24.0,-22.89956796,-43.17643071
2016-02-18 11:30:00,UNIDADE MOVEL CENTRO,0.0,32.47,50.77,8.93,,0.11,,,20.7625,,26.0,-22.89956796,-43.17643071
2016-02-18 12:30:00,UNIDADE MOVEL CENTRO,0.0,31.85,55.01,6.54,,0.16,,,36.595,,11.0,-22.89956796,-43.17643071
2016-02-18 13:30:00,UNIDADE MOVEL CENTRO,0.0,31.19,61.43,6.88,,0.16,,,52.4275,,4.0,-22.89956796,-43.17643071
2016-02-18 14:30:00,UNIDADE MOVEL CENTRO,0.0,30.33,64.49,4.586666666666666,,0.16,,,68.26,,6.0,-22.89956796,-43.17643071
2016-02-18 15:30:00,UNIDADE MOVEL CENTRO,0.0,29.73,66.27,2.293333333333333,,0.16,,,65.1,,5.0,-22.89956796,-43.17643071
2016-02-18 16:30:00,UNIDADE MOVEL CENTRO,0.0,29.44,63.35,0.0,,0.08,,,67.56,,0.0,-22.89956796,-43.17643071
