data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2016-08-02 17:30:00,UNIDADE MOVEL COPACABANA,0.0,22.9,,,,0.28,,,,,,-22.9764884,-43.19370848
2016-08-02 18:30:00,UNIDADE MOVEL COPACABANA,0.0,23.35,74.82,3.47,,0.33,,,11.59,,25.0,-22.9764884,-43.19370848
2016-08-02 19:30:00,UNIDADE MOVEL COPACABANA,0.0,23.05,75.03,3.83,,0.38,,,8.67,,10.0,-22.9764884,-43.19370848
2016-08-02 20:30:00,UNIDADE MOVEL COPACABANA,0.0,22.88,73.28,4.58,,0.22,,,13.27,,11.0,-22.9764884,-43.19370848
2016-08-02 21:30:00,UNIDADE MOVEL COPACABANA,0.0,22.35,76.88,4.93,,0.09,,,23.34,,8.0,-22.9764884,-43.19370848
2016-08-02 22:30:00,UNIDADE MOVEL COPACABANA,0.0,22.6,72.78,5.37,,0.06,,,17.35,,12.0,-22.9764884,-43.19370848
2016-08-02 23:30:00,UNIDADE MOVEL COPACABANA,0.0,22.55,69.82,3.425,,0.105,,,27.2,,8.0,-22.9764884,-43.19370848
2016-08-03 00:30:00,UNIDADE MOVEL COPACABANA,0.0,22.63,68.62,1.48,,0.15,,,22.42,,6.0,-22.9764884,-43.19370848
2016-08-03 01:30:00,UNIDADE MOVEL COPACABANA,0.0,22.08,72.47,1.54,,0.09,,,15.44,,24.0,-22.9764884,-43.19370848
2016-08-03 02:30:00,UNIDADE MOVEL COPACABANA,0.0,21.37,79.63,1.57,,0.06,,,27.32,,11.0,-22.9764884,-43.19370848
2016-08-03 03:30:00,UNIDADE MOVEL COPACABANA,0.0,21.8,74.92,1.47,,0.04,,,38.5,,6.0,-22.9764884,-43.19370848
2016-08-03 04:30:00,UNIDADE MOVEL COPACABANA,0.0,21.93,72.35,1.64,,0.04,,,38.92,,6.0,-22.9764884,-43.19370848
2016-08-03 05:30:00,UNIDADE MOVEL COPACABANA,0.0,21.98,70.9,1.69,,0.09,,,36.5,,18.0,-22.9764884,-43.19370848
2016-08-03 06:30:00,UNIDADE MOVEL COPACABANA,0.0,22.05,68.88,2.19,,0.13,,,21.92,,7.0,-22.9764884,-43.19370848
2016-08-03 07:30:00,UNIDADE MOVEL COPACABANA,0.0,22.17,67.57,2.66,,0.24,,,12.22,,6.0,-22.9764884,-43.19370848
2016-08-03 08:30:00,UNIDADE MOVEL COPACABANA,0.0,22.6,65.03,3.36,,0.42,,,6.9,,8.0,-22.9764884,-43.19370848
2016-08-03 09:30:00,UNIDADE MOVEL COPACABANA,0.0,23.1,64.13,2.94,,0.47,,,10.91,,5.0,-22.9764884,-43.19370848
2016-08-03 10:30:00,UNIDADE MOVEL COPACABANA,0.0,23.23,64.85,2.69,,0.39,,,18.24,,18.0,-22.9764884,-43.19370848
2016-08-03 11:30:00,UNIDADE MOVEL COPACABANA,0.0,22.77,65.33,2.81,,0.36,,,12.8,,7.0,-22.9764884,-43.19370848
2016-08-03 12:30:00,UNIDADE MOVEL COPACABANA,0.0,22.82,64.02,2.81,,0.36,,,12.79,,13.0,-22.9764884,-43.19370848
2016-08-03 13:30:00,UNIDADE MOVEL COPACABANA,0.0,22.85,64.42,2.46,,0.35,,,14.31,,8.0,-22.9764884,-43.19370848
2016-08-03 14:30:00,UNIDADE MOVEL COPACABANA,0.0,22.73,66.9,2.75,,0.32,,,19.16,,9.0,-22.9764884,-43.19370848
2016-08-03 15:30:00,UNIDADE MOVEL COPACABANA,0.0,22.8,66.57,2.85,,0.33,,,17.96,,9.0,-22.9764884,-43.19370848
2016-08-03 16:30:00,UNIDADE MOVEL COPACABANA,0.0,22.77,65.48,2.95,,0.39,,,16.34,,6.0,-22.9764884,-43.19370848
2016-08-03 17:30:00,UNIDADE MOVEL COPACABANA,0.0,22.78,64.67,3.41,,0.65,,,9.66,,7.0,-22.9764884,-43.19370848
2016-08-03 18:30:00,UNIDADE MOVEL COPACABANA,0.0,22.73,64.87,3.75,,0.54,,,8.01,,5.0,-22.9764884,-43.19370848
2016-08-03 19:30:00,UNIDADE MOVEL COPACABANA,0.0,22.7,64.4,3.61,,0.62,,,9.27,,4.0,-22.9764884,-43.19370848
2016-08-03 20:30:00,UNIDADE MOVEL COPACABANA,0.0,22.57,64.53,3.6,,0.38,,,12.44,,4.0,-22.9764884,-43.19370848
2016-08-03 21:30:00,UNIDADE MOVEL COPACABANA,0.0,22.63,63.7,3.79,,0.57,,,5.45,,4.0,-22.9764884,-43.19370848
2016-08-03 22:30:00,UNIDADE MOVEL COPACABANA,0.0,22.37,63.32,3.47,,0.42,,,5.3,,5.0,-22.9764884,-43.19370848
2016-08-03 23:30:00,UNIDADE MOVEL COPACABANA,0.0,22.2,62.75,2.585,,0.37,,,9.25,,25.0,-22.9764884,-43.19370848
2016-08-04 00:30:00,UNIDADE MOVEL COPACABANA,0.0,22.1,63.52,1.7,,0.32,,,11.33,,7.0,-22.9764884,-43.19370848
2016-08-04 01:30:00,UNIDADE MOVEL COPACABANA,0.0,21.83,63.65,1.33,,0.1,,,16.52,,8.0,-22.9764884,-43.19370848
