data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2012-06-20 14:30:00,UNIDADE MOVEL DELCASTILHO,,24.56,80.66,,,,,,4.53,,53.0,-22.87284593,-43.27321287
2012-06-20 15:30:00,UNIDADE MOVEL DELCASTILHO,,24.36,81.38,,,,,,5.46,,30.0,-22.87284593,-43.27321287
2012-06-20 16:30:00,UNIDADE MOVEL DELCASTILHO,,23.86,84.09,,,,,,0.0,,27.0,-22.87284593,-43.27321287
2012-06-20 17:30:00,UNIDADE MOVEL DELCASTILHO,,23.18,91.01,,,0.55,,,0.0,,27.0,-22.87284593,-43.27321287
2012-06-20 18:30:00,UNIDADE MOVEL DELCASTILHO,,23.1,92.53,,,0.68,,,0.0,,35.0,-22.87284593,-43.27321287
2012-06-20 19:30:00,UNIDADE MOVEL DELCASTILHO,,23.21,92.38,,,1.58,,,0.0,,42.0,-22.87284593,-43.27321287
2012-06-20 20:30:00,UNIDADE MOVEL DELCASTILHO,,23.4,91.27,,,1.76,,,0.0,,53.0,-22.87284593,-43.27321287
2012-06-20 21:30:00,UNIDADE MOVEL DELCASTILHO,,23.21,92.29,,,1.76,,,0.14,,55.0,-22.87284593,-43.27321287
2012-06-20 22:30:00,UNIDADE MOVEL DELCASTILHO,,22.96,93.57,,,0.91,,,0.0,,52.0,-22.87284593,-43.27321287
2012-06-20 23:30:00,UNIDADE MOVEL DELCASTILHO,,22.91,93.86,,,0.23,,,0.0,,42.0,-22.87284593,-43.27321287
2012-06-21 00:30:00,UNIDADE MOVEL DELCASTILHO,,23.4,87.59,,,0.1,,,0.0,,22.0,-22.87284593,-43.27321287
2012-06-21 01:30:00,UNIDADE MOVEL DELCASTILHO,,22.8,91.71,,,0.09,,,0.0,,17.0,-22.87284593,-43.27321287
2012-06-21 02:30:00,UNIDADE MOVEL DELCASTILHO,,22.62,92.59,,,0.03,,,0.45,,15.0,-22.87284593,-43.27321287
2012-06-21 03:30:00,UNIDADE MOVEL DELCASTILHO,,22.38,93.36,,,0.01,,,3.73,,15.0,-22.87284593,-43.27321287
2012-06-21 04:30:00,UNIDADE MOVEL DELCASTILHO,,22.27,94.89,,,0.03,,,1.14,,10.0,-22.87284593,-43.27321287
2012-06-21 05:30:00,UNIDADE MOVEL DELCASTILHO,,22.25,95.72,,,0.06,,,0.0,,8.0,-22.87284593,-43.27321287
2012-06-21 06:30:00,UNIDADE MOVEL DELCASTILHO,,22.34,96.2,,,0.1,,,0.0,,23.0,-22.87284593,-43.27321287
