data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2012-09-28 17:30:00,UNIDADE MOVEL GAMBOA,0.0,20.94,51.38,,,,,,,,,-22.89465878,-43.19883402
2012-09-28 18:30:00,UNIDADE MOVEL GAMBOA,0.0,20.25,57.95,,,,,,,,,-22.89465878,-43.19883402
2012-09-28 19:30:00,UNIDADE MOVEL GAMBOA,0.0,20.08,60.74,,,,,,,,9.0,-22.89465878,-43.19883402
2012-09-28 20:30:00,UNIDADE MOVEL GAMBOA,0.0,19.9,63.22,,,,,,,,10.0,-22.89465878,-43.19883402
2012-09-28 21:30:00,UNIDADE MOVEL GAMBOA,0.0,19.66,64.59,,,,,,,,12.0,-22.89465878,-43.19883402
2012-09-28 22:30:00,UNIDADE MOVEL GAMBOA,0.0,19.51,66.95,,,,,,,,13.0,-22.89465878,-43.19883402
2012-09-28 23:30:00,UNIDADE MOVEL GAMBOA,0.0,19.04,67.86,,,,,,,,19.0,-22.89465878,-43.19883402
2012-09-29 00:30:00,UNIDADE MOVEL GAMBOA,0.0,18.59,68.11,,,,,,,,15.0,-22.89465878,-43.19883402
2012-09-29 01:30:00,UNIDADE MOVEL GAMBOA,0.0,18.36,67.74,,,,,,,,19.0,-22.89465878,-43.19883402
2012-09-29 02:30:00,UNIDADE MOVEL GAMBOA,0.0,17.99,69.46,,,,,,,,20.0,-22.89465878,-43.19883402
2012-09-29 03:30:00,UNIDADE MOVEL GAMBOA,0.0,17.56,74.85,,,,,,,,27.0,-22.89465878,-43.19883402
2012-09-29 04:30:00,UNIDADE MOVEL GAMBOA,0.0,17.44,81.96,,,,,,,,19.0,-22.89465878,-43.19883402
2012-09-29 05:30:00,UNIDADE MOVEL GAMBOA,0.0,17.49,81.7,,,,,,,,30.0,-22.89465878,-43.19883402
2012-09-29 06:30:00,UNIDADE MOVEL GAMBOA,0.0,17.55,82.4,,,,,,,,20.0,-22.89465878,-43.19883402
2012-09-29 07:30:00,UNIDADE MOVEL GAMBOA,0.0,18.3,79.35,,,,,,,,27.0,-22.89465878,-43.19883402
2012-09-29 08:30:00,UNIDADE MOVEL GAMBOA,0.0,19.47,70.97,,,,,,,,26.0,-22.89465878,-43.19883402
2012-09-29 09:30:00,UNIDADE MOVEL GAMBOA,0.0,20.46,65.26,,,,,,,,30.0,-22.89465878,-43.19883402
2012-09-29 10:30:00,UNIDADE MOVEL GAMBOA,0.0,22.49,55.56,,,,,,,,27.0,-22.89465878,-43.19883402
2012-09-29 11:30:00,UNIDADE MOVEL GAMBOA,0.0,22.35,61.68,,,,,,,,13.0,-22.89465878,-43.19883402
