data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2014-01-14 10:30:00,UNIDADE MOVEL MADUREIRA,,,,,,,,,,,34.0,-22.86555484,-43.34336341
2014-01-14 11:30:00,UNIDADE MOVEL MADUREIRA,0.0,33.93,50.43,19.33,,,,,,,42.0,-22.86555484,-43.34336341
2014-01-14 12:30:00,UNIDADE MOVEL MADUREIRA,0.0,35.38,43.7,18.446666666666665,,0.38,,,,,50.0,-22.86555484,-43.34336341
2014-01-14 13:30:00,UNIDADE MOVEL MADUREIRA,0.0,36.3,40.38,17.563333333333333,,0.18,,,112.89,,13.0,-22.86555484,-43.34336341
2014-01-14 14:30:00,UNIDADE MOVEL MADUREIRA,0.0,36.52,38.37,16.68,,0.19,,,130.7,,12.0,-22.86555484,-43.34336341
2014-01-14 15:30:00,UNIDADE MOVEL MADUREIRA,0.0,36.67,36.82,18.63,,0.2,,,96.14,,18.0,-22.86555484,-43.34336341
2014-01-14 16:30:00,UNIDADE MOVEL MADUREIRA,0.0,36.47,37.13,16.78,,0.3,,,84.93,,11.0,-22.86555484,-43.34336341
2014-01-14 17:30:00,UNIDADE MOVEL MADUREIRA,0.0,34.85,43.2,11.02,,0.31,,,61.4,,18.0,-22.86555484,-43.34336341
2014-01-14 18:30:00,UNIDADE MOVEL MADUREIRA,0.0,33.83,46.4,2.08,,0.37,,,42.41,,9.0,-22.86555484,-43.34336341
2014-01-14 19:30:00,UNIDADE MOVEL MADUREIRA,0.0,32.53,53.68,0.0,,0.22,,,25.89,,10.0,-22.86555484,-43.34336341
2014-01-14 20:30:00,UNIDADE MOVEL MADUREIRA,0.0,31.9475,55.785,0.0,,0.21,,,20.47,,10.0,-22.86555484,-43.34336341
2014-01-14 21:30:00,UNIDADE MOVEL MADUREIRA,0.0,31.365000000000002,57.89,0.0,,0.2,,,15.05,,16.0,-22.86555484,-43.34336341
2014-01-14 22:30:00,UNIDADE MOVEL MADUREIRA,0.0,30.7825,59.995000000000005,0.0,,0.19,,,9.630000000000003,,19.0,-22.86555484,-43.34336341
2014-01-14 23:30:00,UNIDADE MOVEL MADUREIRA,0.0,30.2,62.1,0.0,,0.18,,,4.21,,22.0,-22.86555484,-43.34336341
2014-01-15 00:30:00,UNIDADE MOVEL MADUREIRA,0.0,29.92,65.03,1.48,,0.3,,,2.82,,17.0,-22.86555484,-43.34336341
2014-01-15 01:30:00,UNIDADE MOVEL MADUREIRA,0.0,29.33,68.08,1.08,,0.25,,,10.31,,22.0,-22.86555484,-43.34336341
2014-01-15 02:30:00,UNIDADE MOVEL MADUREIRA,0.0,28.73,71.2,0.06,,0.24,,,24.41,,20.0,-22.86555484,-43.34336341
2014-01-15 03:30:00,UNIDADE MOVEL MADUREIRA,0.0,28.27,74.3,0.0,,0.16,,,29.43,,21.0,-22.86555484,-43.34336341
2014-01-15 04:30:00,UNIDADE MOVEL MADUREIRA,0.0,28.13,75.67,0.0,,0.09,,,25.61,,18.0,-22.86555484,-43.34336341
2014-01-15 05:30:00,UNIDADE MOVEL MADUREIRA,0.0,27.67,76.98,0.0,,0.19,,,10.81,,14.0,-22.86555484,-43.34336341
2014-01-15 06:30:00,UNIDADE MOVEL MADUREIRA,0.0,28.932000000000002,71.37400000000001,4.6579999999999995,,0.184,,,25.964,,19.0,-22.86555484,-43.34336341
2014-01-15 07:30:00,UNIDADE MOVEL MADUREIRA,0.0,30.194,65.768,9.315999999999999,,0.178,,,41.117999999999995,,20.666666666666668,-22.86555484,-43.34336341
2014-01-15 08:30:00,UNIDADE MOVEL MADUREIRA,0.0,31.456,60.162000000000006,13.973999999999998,,0.17200000000000001,,,56.272,,22.333333333333332,-22.86555484,-43.34336341
2014-01-15 09:30:00,UNIDADE MOVEL MADUREIRA,0.0,32.717999999999996,54.556000000000004,18.631999999999998,,0.166,,,71.42599999999999,,24.0,-22.86555484,-43.34336341
2014-01-15 10:30:00,UNIDADE MOVEL MADUREIRA,0.0,33.98,48.95,23.29,,0.16,,,86.58,,18.0,-22.86555484,-43.34336341
2014-01-15 11:30:00,UNIDADE MOVEL MADUREIRA,0.0,35.4,41.72,28.1,,0.24,,,123.75,,23.0,-22.86555484,-43.34336341
2014-01-15 12:30:00,UNIDADE MOVEL MADUREIRA,0.0,35.63,45.08,31.13,,0.3,,,128.3,,22.0,-22.86555484,-43.34336341
2014-01-15 13:30:00,UNIDADE MOVEL MADUREIRA,0.0,35.03,48.33,33.46,,0.41,,,116.4,,22.0,-22.86555484,-43.34336341
2014-01-15 14:30:00,UNIDADE MOVEL MADUREIRA,0.0,33.48,51.18,30.96,,0.31,,,104.17,,23.0,-22.86555484,-43.34336341
2014-01-15 15:30:00,UNIDADE MOVEL MADUREIRA,0.0,32.15,53.98,22.37,,0.23,,,92.32,,13.0,-22.86555484,-43.34336341
2014-01-15 16:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,10.0,-22.86555484,-43.34336341
2014-01-15 17:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,8.0,-22.86555484,-43.34336341
2014-01-15 18:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,9.0,-22.86555484,-43.34336341
2014-01-15 19:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,10.0,-22.86555484,-43.34336341
2014-01-15 20:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,11.5,-22.86555484,-43.34336341
2014-01-15 21:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,13.0,-22.86555484,-43.34336341
2014-01-15 22:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,15.75,-22.86555484,-43.34336341
2014-01-15 23:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,18.5,-22.86555484,-43.34336341
2014-01-16 00:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,21.25,-22.86555484,-43.34336341
2014-01-16 01:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,24.0,-22.86555484,-43.34336341
2014-01-16 02:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,27.75,-22.86555484,-43.34336341
2014-01-16 03:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,31.5,-22.86555484,-43.34336341
2014-01-16 04:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,35.25,-22.86555484,-43.34336341
2014-01-16 05:30:00,UNIDADE MOVEL MADUREIRA,0.0,,,,,,,,,,39.0,-22.86555484,-43.34336341
2014-01-16 06:30:00,UNIDADE MOVEL MADUREIRA,0.0,28.28,66.83,0.29,,0.18,,,18.38,,18.0,-22.86555484,-43.34336341
2014-01-16 07:30:00,UNIDADE MOVEL MADUREIRA,0.0,29.8,61.43,3.02,,0.23,,,35.31,,26.0,-22.86555484,-43.34336341
2014-01-16 08:30:00,UNIDADE MOVEL MADUREIRA,0.0,31.12,56.87,10.17,,0.32,,,54.76,,43.0,-22.86555484,-43.34336341
