data,Nome,chuva,temp,ur,so2,no2,co,no,nox,o3,pm10,pm2_5,lat,lon
2017-10-11 00:30:00,UNIDADE MOVEL RECREIO,0.0,22.07,,1.05,,0.05,,,,,12.0,-23.02002468,-43.48157137
2017-10-11 01:30:00,UNIDADE MOVEL RECREIO,0.0,21.67,,1.52,,0.05,,,,,13.0,-23.02002468,-43.48157137
2017-10-11 02:30:00,UNIDADE MOVEL RECREIO,0.0,21.57,,1.75,,0.04,,,,,8.0,-23.02002468,-43.48157137
2017-10-11 03:30:00,UNIDADE MOVEL RECREIO,0.0,21.48,,1.4,,0.06,,,,,17.0,-23.02002468,-43.48157137
2017-10-11 04:30:00,UNIDADE MOVEL RECREIO,0.0,20.95,,1.15,,0.07,,,,,9.0,-23.02002468,-43.48157137
2017-10-11 05:30:00,UNIDADE MOVEL RECREIO,0.0,20.43,,0.93,,0.14,,,,,18.0,-23.02002468,-43.48157137
2017-10-11 06:30:00,UNIDADE MOVEL RECREIO,0.0,21.58,,1.11,,0.22,,,,,18.0,-23.02002468,-43.48157137
2017-10-11 07:30:00,UNIDADE MOVEL RECREIO,0.0,23.93,,1.69,,0.2,,,,,17.0,-23.02002468,-43.48157137
2017-10-11 08:30:00,UNIDADE MOVEL RECREIO,0.0,24.42,,3.03,,0.18,,,,,15.0,-23.02002468,-43.48157137
2017-10-11 09:30:00,UNIDADE MOVEL RECREIO,0.0,26.22,,4.84,,0.18,,,,,17.0,-23.02002468,-43.48157137
2017-10-11 10:30:00,UNIDADE MOVEL RECREIO,0.0,24.98,,7.62,,0.14,,,,,16.0,-23.02002468,-43.48157137
2017-10-11 11:30:00,UNIDADE MOVEL RECREIO,0.0,24.53,,9.48,,0.09,,,,,21.0,-23.02002468,-43.48157137
2017-10-11 12:30:00,UNIDADE MOVEL RECREIO,0.0,25.47,,11.29,,0.14,,,,,20.0,-23.02002468,-43.48157137
2017-10-11 13:30:00,UNIDADE MOVEL RECREIO,0.0,26.73,,12.53,,0.1,,,,,25.0,-23.02002468,-43.48157137
2017-10-11 14:30:00,UNIDADE MOVEL RECREIO,0.0,26.77,,21.56,,0.07,,,,,10.0,-23.02002468,-43.48157137
2017-10-11 15:30:00,UNIDADE MOVEL RECREIO,0.0,26.2,,21.84,,0.07,,,,,12.0,-23.02002468,-43.48157137
2017-10-11 16:30:00,UNIDADE MOVEL RECREIO,0.0,27.5,,23.52,,0.09,,,,,9.0,-23.02002468,-43.48157137
2017-10-11 17:30:00,UNIDADE MOVEL RECREIO,0.0,26.63,,23.0,,0.13,,,,,11.0,-23.02002468,-43.48157137
2017-10-11 18:30:00,UNIDADE MOVEL RECREIO,0.0,24.57,,20.65,,0.17,,,,,6.0,-23.02002468,-43.48157137
2017-10-11 19:30:00,UNIDADE MOVEL RECREIO,0.0,23.62,,18.6,,0.12,,,,,22.0,-23.02002468,-43.48157137
2017-10-11 20:30:00,UNIDADE MOVEL RECREIO,0.0,22.55,,17.91,,0.12,,,,,12.0,-23.02002468,-43.48157137
2017-10-11 21:30:00,UNIDADE MOVEL RECREIO,0.0,22.15,,17.82,,0.16,,,,,9.0,-23.02002468,-43.48157137
2017-10-11 22:30:00,UNIDADE MOVEL RECREIO,0.0,22.32,,17.03,,0.14,,,,,10.0,-23.02002468,-43.48157137
2017-10-11 23:30:00,UNIDADE MOVEL RECREIO,0.0,21.9,,8.93,,0.11,,,,,18.0,-23.02002468,-43.48157137
2017-10-12 00:30:00,UNIDADE MOVEL RECREIO,0.0,22.4,,0.83,,0.06,,,,,16.0,-23.02002468,-43.48157137
2017-10-12 01:30:00,UNIDADE MOVEL RECREIO,0.0,22.77,,0.08,,0.06,,,,,21.0,-23.02002468,-43.48157137
2017-10-12 02:30:00,UNIDADE MOVEL RECREIO,0.0,22.3,,0.06,,0.04,,,,,6.0,-23.02002468,-43.48157137
2017-10-12 03:30:00,UNIDADE MOVEL RECREIO,0.0,21.42,,0.0,,0.03,,,,,16.0,-23.02002468,-43.48157137
2017-10-12 04:30:00,UNIDADE MOVEL RECREIO,0.0,22.07,,0.0,,0.04,,,,,12.0,-23.02002468,-43.48157137
2017-10-12 05:30:00,UNIDADE MOVEL RECREIO,0.0,22.12,,0.0,,0.04,,,,,9.0,-23.02002468,-43.48157137
2017-10-12 06:30:00,UNIDADE MOVEL RECREIO,0.0,22.6,,0.0,,0.08,,,,,14.0,-23.02002468,-43.48157137
2017-10-12 07:30:00,UNIDADE MOVEL RECREIO,0.0,23.93,,0.0,,0.06,,,,,12.0,-23.02002468,-43.48157137
2017-10-12 08:30:00,UNIDADE MOVEL RECREIO,0.0,25.8,,0.0,,0.07,,,,,12.0,-23.02002468,-43.48157137
2017-10-12 09:30:00,UNIDADE MOVEL RECREIO,0.0,25.12,,0.0,,0.06,,,,,13.0,-23.02002468,-43.48157137
2017-10-12 10:30:00,UNIDADE MOVEL RECREIO,0.0,25.03,,0.54,,0.05,,,,,16.0,-23.02002468,-43.48157137
2017-10-12 11:30:00,UNIDADE MOVEL RECREIO,0.0,24.23,,2.33,,0.04,,,,,13.0,-23.02002468,-43.48157137
2017-10-12 12:30:00,UNIDADE MOVEL RECREIO,0.0,24.22,,3.71,,0.04,,,,,10.0,-23.02002468,-43.48157137
2017-10-12 13:30:00,UNIDADE MOVEL RECREIO,0.0,24.75,,4.19,,0.03,,,,,15.0,-23.02002468,-43.48157137
2017-10-12 14:30:00,UNIDADE MOVEL RECREIO,0.0,24.45,,4.84,,0.03,,,,,13.0,-23.02002468,-43.48157137
2017-10-12 15:30:00,UNIDADE MOVEL RECREIO,0.0,24.22,,5.52,,0.04,,,,,14.0,-23.02002468,-43.48157137
2017-10-12 16:30:00,UNIDADE MOVEL RECREIO,0.0,23.95,,5.06,,0.03,,,,,9.0,-23.02002468,-43.48157137
