data_dia,num_internacoes
2012-01-01,234
2012-01-02,336
2012-01-03,198
2012-01-04,192
2012-01-05,186
2012-01-06,240
2012-01-07,138
2012-01-08,180
2012-01-09,204
2012-01-10,252
2012-01-11,228
2012-01-12,216
2012-01-13,174
2012-01-14,186
2012-01-15,120
2012-01-16,264
2012-01-17,180
2012-01-18,186
2012-01-19,264
2012-01-20,234
2012-01-21,174
2012-01-22,72
2012-01-23,270
2012-01-24,228
2012-01-25,222
2012-01-26,174
2012-01-27,162
2012-01-28,102
2012-01-29,198
2012-01-30,138
2012-01-31,156
2012-02-01,120
2012-02-02,192
2012-02-03,222
2012-02-04,162
2012-02-05,132
2012-02-06,288
2012-02-07,216
2012-02-08,294
2012-02-09,210
2012-02-10,162
2012-02-11,144
2012-02-12,258
2012-02-13,204
2012-02-14,246
2012-02-15,222
2012-02-16,252
2012-02-17,174
2012-02-18,144
2012-02-19,162
2012-02-20,150
2012-02-21,156
2012-02-22,168
2012-02-23,258
2012-02-24,270
2012-02-25,234
2012-02-26,186
2012-02-27,408
2012-02-28,306
2012-02-29,198
2012-03-01,270
2012-03-02,300
2012-03-03,162
2012-03-04,144
2012-03-05,294
2012-03-06,192
2012-03-07,228
2012-03-08,246
2012-03-09,264
2012-03-10,162
2012-03-11,150
2012-03-12,270
2012-03-13,348
2012-03-14,252
2012-03-15,258
2012-03-16,204
2012-03-17,252
2012-03-18,204
2012-03-19,318
2012-03-20,312
2012-03-21,312
2012-03-22,306
2012-03-23,360
2012-03-24,210
2012-03-25,216
2012-03-26,432
2012-03-27,384
2012-03-28,336
2012-03-29,384
2012-03-30,276
2012-03-31,186
2012-04-01,209
2012-04-02,408
2012-04-03,330
2012-04-04,354
2012-04-05,228
2012-04-06,306
2012-04-07,222
2012-04-08,210
2012-04-09,450
2012-04-10,324
2012-04-11,318
2012-04-12,420
2012-04-13,336
2012-04-14,210
2012-04-15,252
2012-04-16,372
2012-04-17,486
2012-04-18,276
2012-04-19,324
2012-04-20,258
2012-04-21,318
2012-04-22,258
2012-04-23,282
2012-04-24,450
2012-04-25,468
2012-04-26,342
2012-04-27,492
2012-04-28,420
2012-04-29,270
2012-04-30,354
2012-05-01,264
2012-05-02,444
2012-05-03,438
2012-05-04,372
2012-05-05,252
2012-05-06,198
2012-05-07,444
2012-05-08,420
2012-05-09,378
2012-05-10,462
2012-05-11,450
2012-05-12,318
2012-05-13,294
2012-05-14,552
2012-05-15,450
2012-05-16,420
2012-05-17,516
2012-05-18,540
2012-05-19,264
2012-05-20,330
2012-05-21,492
2012-05-22,558
2012-05-23,564
2012-05-24,492
2012-05-25,516
2012-05-26,324
2012-05-27,378
2012-05-28,582
2012-05-29,480
2012-05-30,540
2012-05-31,348
2012-06-01,402
2012-06-02,336
2012-06-03,258
2012-06-04,492
2012-06-05,510
2012-06-06,432
2012-06-07,270
2012-06-08,252
2012-06-09,234
2012-06-10,306
2012-06-11,390
2012-06-12,468
2012-06-13,318
2012-06-14,426
2012-06-15,372
2012-06-16,288
2012-06-17,258
2012-06-18,450
2012-06-19,396
2012-06-20,462
2012-06-21,300
2012-06-22,372
2012-06-23,318
2012-06-24,264
2012-06-25,522
2012-06-26,384
2012-06-27,324
