nome_estacao,codnum,data,chuva,temp,ur,pres,rs,dir_vento,vel_vento,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,data_formatada,ano,mes
ESTAÇÃO BANGU,2,2012-01-01 03:30:00,0.2,24.67,95.24,1008.15,,,,0.42,2.18,15.18,17.36,,28.06,81.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 04:30:00,0.4,24.72,94.13,1007.13,,,,0.35,1.63,9.5,11.12,0.4,32.81,61.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 05:30:00,0.0,24.49,92.91,1006.32,,,,0.27,1.73,8.74,10.47,0.12,31.61,26.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 06:30:00,0.2,24.54,92.59,1005.82,,,,0.21,1.18,5.51,6.68,0.0,37.39,20.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 07:30:00,0.4,24.78,90.71,1005.45,,,,0.16,0.95,8.41,9.35,0.0,33.45,7.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 08:30:00,0.0,24.68,92.29,1005.62,,,,0.2,1.8,12.09,13.88,0.0,24.66,7.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 09:30:00,0.2,24.84,92.02,1005.73,,,,0.23,2.73,15.12,17.86,0.0,21.14,6.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 10:30:00,0.0,25.69,86.16,1005.7,,,,0.18,1.9,8.87,10.76,0.0,29.74,4.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 11:30:00,0.0,26.76,81.99,1005.77,,,,0.2,3.08,8.58,11.66,0.0,29.68,,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 12:30:00,0.0,27.97,79.52,1005.75,,,,0.3,3.86,10.3,14.16,0.15,35.57,,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 13:30:00,1.8,27.93,80.4,1005.68,,,,0.28,1.91,5.98,7.88,1.34,35.15,,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 14:30:00,1.6,27.67,86.53,1005.68,,,,0.48,2.25,7.67,9.92,0.0,30.94,3.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 15:30:00,1.2,27.57,87.28,1005.72,,,,0.85,2.29,9.99,12.28,0.0,28.69,9.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 16:30:00,1.4,26.62,89.84,1005.23,,,,0.69,2.38,8.06,10.45,0.0,26.14,36.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
ESTAÇÃO BANGU,2,2012-01-01 17:30:00,0.4,26.7,88.99,1004.53,,,,0.74,2.41,8.51,10.92,0.0,26.23,19.0,,-22.88790959,-43.47107415,2012-01-01,2012,1
