nome_estacao,codnum,data,chuva,temp,ur,pres,rs,dir_vento,vel_vento,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,data_formatada,ano,mes
ESTAÇÃO COPACABANA,1,2012-01-01 00:30:00,0.0,25.77,81.57,1007.92,8.65,201.17,0.72,0.15,,,,2.18,16.39,52.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 01:30:00,0.4,25.18,85.45,1008.53,0.95,278.0,0.7,0.12,,,,1.73,19.38,51.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 02:30:00,1.8,24.44,91.67,1008.95,0.77,237.33,0.43,0.18,,,,2.49,14.24,54.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 03:30:00,0.2,24.14,93.01,1007.3,1.03,134.0,0.28,0.41,,,,2.2,19.29,70.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 04:30:00,0.4,24.11,92.03,1006.3,1.1,209.0,0.52,0.2,,,,1.25,27.41,58.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 05:30:00,0.0,24.12,91.36,1005.13,1.12,183.67,0.65,0.45,,,,1.29,25.8,45.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 06:30:00,0.2,24.12,91.67,1004.82,1.18,112.33,0.33,0.29,,,,1.5,9.18,47.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 07:30:00,0.0,23.97,92.03,1004.67,1.2,238.5,0.65,0.29,,,,1.78,8.9,35.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 08:30:00,0.0,23.73,93.32,1004.6,3.63,32.33,0.43,0.12,,,,1.35,8.05,42.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 09:30:00,0.2,24.13,92.5,1004.47,28.77,93.33,0.57,0.21,,,,2.28,3.62,32.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 10:30:00,0.2,24.52,91.58,1004.78,49.02,167.0,0.63,0.26,,,,2.7,4.26,37.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 11:30:00,0.4,24.83,91.33,1004.75,92.0,111.5,0.57,0.18,,,,2.5,8.36,37.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 12:30:00,0.0,26.84,82.54,1004.32,211.28,212.33,0.33,0.21,,,,3.91,5.88,33.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 13:30:00,0.0,27.38,76.53,1004.28,143.52,186.17,1.43,0.25,,,,3.33,10.43,45.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
ESTAÇÃO COPACABANA,1,2012-01-01 14:30:00,1.4,26.61,80.97,1004.17,92.1,176.83,1.23,0.54,,,,4.21,9.06,42.0,,-22.96500373,-43.18048165,2012-01-01,2012,1
