nome_estacao,codnum,data,chuva,temp,ur,pres,rs,dir_vento,vel_vento,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,data_formatada,ano,mes
ESTAÇÃO IRAJÁ,5,2012-01-01 03:30:00,0.8,24.84,97.12,1003.43,0.83,,,0.4,0.23,20.09,20.2,2.55,25.03,89.0,85.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 04:30:00,0.0,24.68,96.0,1002.43,1.0,,,0.35,0.68,18.91,19.6,0.45,22.95,33.0,32.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 05:30:00,0.0,24.56,96.39,1001.62,1.0,,,0.34,0.39,17.99,18.33,0.11,22.31,19.0,14.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 06:30:00,0.0,24.65,96.87,1001.1,1.0,,,0.37,0.44,22.49,22.93,0.7,17.98,12.0,12.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 07:30:00,0.0,24.66,96.32,1000.85,1.0,,,0.32,0.24,21.28,21.52,0.79,18.88,10.0,10.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 08:30:00,0.0,24.59,96.52,1000.9,3.67,,,0.29,1.06,29.4,30.46,0.13,14.0,,,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 09:30:00,1.2,24.79,96.33,1000.93,31.83,,,0.3,1.94,33.47,35.41,0.35,10.58,10.0,6.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 10:30:00,0.4,25.21,95.62,1001.08,64.0,,,0.41,6.14,42.47,48.61,0.93,12.04,8.0,3.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 11:30:00,0.0,26.21,92.04,1001.07,212.67,,,0.39,6.15,36.12,42.27,1.37,13.76,8.0,3.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 12:30:00,0.0,27.78,84.94,1000.87,308.17,,,0.43,7.1,24.64,31.74,1.94,16.13,6.0,4.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 13:30:00,0.0,28.57,80.96,1000.97,287.17,,,0.35,4.46,23.85,28.3,2.27,20.34,5.0,2.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 14:30:00,0.4,28.94,79.93,1001.0,189.83,,,0.6,4.24,31.63,35.87,4.86,24.41,6.0,2.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 15:30:00,4.0,27.88,88.55,1001.12,110.33,,,0.85,11.24,48.36,59.6,3.62,16.12,17.0,6.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 16:30:00,2.4,26.9,92.77,1000.88,108.17,,,1.08,8.25,43.34,51.59,0.36,14.48,22.0,19.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 17:30:00,0.8,26.92,90.38,1000.25,167.67,,,1.13,10.7,38.17,48.88,0.03,13.2,,,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 18:30:00,0.4,26.88,92.02,999.55,155.0,,,0.88,5.95,33.78,39.72,1.01,19.05,28.0,19.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 19:30:00,0.0,26.87,91.91,999.55,123.83,,,0.64,1.9,30.3,32.2,3.14,32.39,36.0,21.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 20:30:00,0.0,26.59,90.85,999.95,52.5,,,0.52,1.48,27.09,28.57,1.19,21.13,20.0,11.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 21:30:00,0.0,26.41,93.62,1000.52,9.17,,,0.69,3.25,38.79,42.02,1.76,10.07,10.0,9.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 22:30:00,0.0,26.11,96.06,1000.72,1.0,,,0.74,3.17,48.54,51.7,1.18,1.83,12.0,10.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-01 23:30:00,0.4,26.04,95.06,1001.45,1.0,,,1.05,13.61,56.62,70.23,1.19,0.47,15.0,12.0,-22.8316208,-43.3268447,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 00:30:00,0.4,24.88,95.82,1001.95,1.0,,,0.55,1.81,29.24,31.05,0.07,16.9,32.0,16.0,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 01:30:00,9.2,24.39,96.29,1002.28,1.0,,,0.41,1.52,27.86,29.38,0.0,19.58,,,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 02:30:00,32.0,23.56,100.0,1002.02,0.67,,,0.38,1.21,25.37,26.58,0.0,20.86,,,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 03:30:00,2.4,23.5,100.0,1001.45,0.17,,,0.37,0.92,24.79,25.7,0.0,19.37,,,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 04:30:00,2.4,23.27,100.0,1000.92,0.33,,,0.25,0.27,12.91,13.18,0.74,17.05,,,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 05:30:00,0.8,23.05,99.86,1000.32,0.83,,,0.18,0.62,11.69,12.31,0.62,15.45,4.0,0.0,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 06:30:00,1.2,23.07,99.52,1000.28,0.67,,,0.21,1.47,19.82,21.29,0.83,12.48,10.0,0.0,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 07:30:00,5.6,23.0,99.17,1000.75,0.83,,,0.27,8.79,35.35,44.13,0.91,7.46,19.0,0.0,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 08:30:00,3.2,22.76,99.83,1001.23,1.67,,,0.42,25.88,46.57,72.45,0.93,2.96,14.0,0.0,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 09:30:00,4.4,22.84,99.98,1002.0,9.83,,,0.51,41.94,54.02,95.97,1.27,0.58,12.0,1.0,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 10:30:00,5.2,22.72,99.79,1002.57,23.33,,,0.57,52.16,56.31,108.46,1.98,2.15,11.0,7.0,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 11:30:00,6.0,22.63,98.45,1003.02,47.17,,,0.49,39.74,54.78,94.5,1.85,4.22,16.0,6.0,-22.8316208,-43.3268447,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,5,2012-01-02 12:30:00,10.4,22.32,97.55,1003.75,65.5,,,0.48,16.3,41.06,57.34,1.24,10.37,10.0,0.0,-22.8316208,-43.3268447,2012-01-02,2012,1
