nome_estacao,codnum,data,chuva,temp,ur,pres,rs,dir_vento,vel_vento,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,data_formatada,ano,mes
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 03:30:00,0.8,24.07,99.56,1006.23,1.0,,,,,,,,24.52,74.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 04:30:00,1.2,24.07,99.4,1005.15,0.33,,,,,,,,28.16,34.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 05:30:00,0.4,24.17,96.38,1004.2,0.17,,,,,,,,42.38,41.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 06:30:00,0.6,24.03,94.49,1003.82,0.17,,,,,,,,45.37,17.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 07:30:00,0.2,23.88,97.84,1003.52,0.0,,,,,,,,29.45,22.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 08:30:00,0.0,23.97,98.07,1003.65,2.67,,,,,,,,19.38,20.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 09:30:00,0.0,24.33,96.11,1003.68,31.67,,,,,,,,27.76,13.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 10:30:00,0.2,24.72,94.99,1003.88,77.0,,,,,,,,25.89,13.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 11:30:00,0.0,25.18,92.72,1003.9,213.33,,,,,,,,38.78,18.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 12:30:00,0.4,25.33,91.6,1003.88,143.17,,,,,,,,42.73,21.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 13:30:00,0.4,26.17,92.59,1003.75,199.67,,,,,,,,37.67,10.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 14:30:00,0.2,27.67,83.68,1003.4,225.5,,,,,,,,42.44,11.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 15:30:00,0.4,27.28,82.0,1003.22,165.33,,,,,,,,38.15,8.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 16:30:00,0.2,26.32,87.74,1002.65,126.0,,,,,,,,35.18,4.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 17:30:00,0.4,26.45,86.83,1002.15,158.33,,,,,,,,36.38,3.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 18:30:00,0.4,26.78,88.25,1001.65,154.5,,,,,,,,33.01,8.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 19:30:00,0.2,27.02,88.71,1001.47,126.33,,,,,,,,33.56,13.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 20:30:00,0.0,26.9,88.97,1002.07,56.0,,,,,,,,35.62,13.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 21:30:00,0.2,25.93,93.64,1002.8,20.0,,,,,,,,32.41,30.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 22:30:00,5.8,23.87,99.07,1003.2,15.5,,,,,,,,63.7,31.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-01 23:30:00,20.8,23.13,100.0,1004.28,15.33,,,,,,,,65.61,19.0,,-23.00437898,-43.62901037,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,6,2012-01-02 00:30:00,1.2,23.17,100.0,1004.6,14.83,,,,,,,,62.91,10.0,,-23.00437898,-43.62901037,2012-01-02,2012,1
