nome_estacao,codnum,data,chuva,temp,ur,pres,rs,dir_vento,vel_vento,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,data_formatada,ano,mes
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 00:30:00,0.0,29.5,89.06,1007.53,9.32,200.83,1.5,0.1,,,,0.02,35.89,24.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 01:30:00,0.4,29.3,90.99,1008.32,3.48,149.33,1.1,0.15,,,,1.02,14.93,26.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 02:30:00,1.6,28.15,97.42,1008.78,0.78,176.5,0.63,0.13,,,,0.46,18.51,24.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 03:30:00,0.2,27.14,99.82,1007.08,0.0,240.83,0.58,0.17,,,,8.41,10.95,49.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 04:30:00,0.4,27.01,99.82,1006.1,0.0,257.67,0.32,0.21,,,,4.77,10.01,27.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 05:30:00,0.0,26.63,99.81,1005.1,0.0,258.5,0.23,0.25,,,,4.31,3.63,32.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 06:30:00,0.0,26.53,99.82,1004.65,0.0,257.17,0.4,0.18,,,,3.41,1.92,13.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 07:30:00,0.2,26.62,99.81,1004.45,0.0,173.0,0.37,0.18,,,,4.56,3.8,9.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 08:30:00,0.0,26.68,99.81,1004.53,3.12,273.5,0.37,0.22,,,,2.17,6.73,16.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 09:30:00,0.4,27.01,99.83,1004.43,28.87,259.67,0.47,0.22,,,,0.92,6.39,11.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 10:30:00,0.2,27.54,99.83,1004.72,44.83,198.5,0.52,0.2,,,,1.17,6.93,9.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 11:30:00,0.2,28.3,99.08,1004.73,168.48,265.5,0.48,0.19,,,,4.61,5.87,18.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 12:30:00,0.0,30.85,89.86,1004.45,416.98,97.5,0.8,0.13,,,,10.05,21.38,9.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 13:30:00,0.0,31.92,84.81,1004.38,210.82,181.0,0.33,0.11,,,,8.71,28.82,9.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 14:30:00,1.2,31.56,89.56,1004.38,117.37,161.67,0.5,0.29,,,,7.82,14.12,9.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 15:30:00,0.2,30.48,96.56,1004.28,143.38,209.83,0.5,0.34,,,,4.97,28.01,10.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 16:30:00,1.8,29.64,99.57,1004.05,91.98,218.67,0.52,0.51,,,,2.87,35.74,8.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 17:30:00,0.8,29.52,99.47,1003.45,118.32,196.33,0.47,0.62,,,,1.73,26.79,24.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 18:30:00,0.4,29.62,98.59,1002.85,127.82,98.5,0.95,0.41,,,,4.95,32.53,33.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 19:30:00,0.2,28.96,99.83,1002.72,84.7,135.83,0.58,0.37,,,,14.79,24.45,28.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 20:30:00,0.0,29.08,99.75,1003.12,40.12,168.0,0.55,0.44,,,,23.09,16.71,18.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 21:30:00,0.2,28.87,99.83,1003.73,8.3,192.5,0.17,0.49,,,,14.08,7.54,27.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 22:30:00,0.2,28.47,99.82,1003.85,0.0,268.67,0.4,0.79,,,,11.79,0.21,20.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 23:30:00,0.2,28.22,99.83,1004.57,0.0,245.5,0.38,1.08,,,,4.23,0.1,23.0,,-22.89777109,-43.22174541,2012-01-01,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 00:30:00,0.6,27.72,99.83,1004.97,0.0,269.0,0.5,0.61,,,,2.31,2.83,26.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 01:30:00,1.0,27.03,99.83,1005.15,0.0,243.5,0.47,0.32,,,,1.16,16.25,21.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 02:30:00,14.6,26.27,99.83,1004.97,0.0,158.0,0.78,0.2,,,,1.12,26.29,14.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 03:30:00,4.8,25.72,99.81,1004.33,0.0,50.0,0.55,0.11,,,,1.07,31.75,11.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 04:30:00,1.4,25.5,99.81,1003.55,0.0,161.83,0.35,0.08,,,,0.85,25.03,4.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 05:30:00,0.2,25.33,99.82,1003.08,0.0,93.17,0.58,0.07,,,,1.76,12.82,3.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 06:30:00,0.2,25.08,99.82,1003.15,0.0,232.17,0.33,0.04,,,,0.62,25.4,5.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 07:30:00,0.8,25.2,99.81,1003.72,0.0,134.83,0.67,0.12,,,,2.33,4.38,8.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 08:30:00,3.0,24.73,99.81,1004.28,0.13,206.0,0.87,0.2,,,,5.85,0.3,7.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 09:30:00,1.8,24.53,99.81,1005.07,7.08,149.0,0.57,0.28,,,,5.05,0.42,6.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 10:30:00,2.0,24.5,99.81,1005.6,16.97,78.83,0.55,0.4,,,,3.65,1.0,11.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 11:30:00,2.2,24.58,99.81,1006.12,40.37,177.83,0.33,0.52,,,,2.03,2.31,11.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 12:30:00,10.6,24.48,99.82,1006.62,33.37,90.67,0.93,0.5,,,,6.06,1.26,11.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 13:30:00,7.0,23.84,99.81,1006.9,83.25,192.17,0.72,0.22,,,,2.37,10.53,13.0,,-22.89777109,-43.22174541,2012-01-02,2012,1
