nome_estacao,codnum,data,ano,mes,dia,data_dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 00:30:00,2012,1,1,2012-01-01,0.0,29.5,89.06,0.1,,,,0.02,35.89,24.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 01:30:00,2012,1,1,2012-01-01,0.4,29.3,90.99,0.15,,,,1.02,14.93,26.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 02:30:00,2012,1,1,2012-01-01,1.6,28.15,97.42,0.13,,,,0.46,18.51,24.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 03:30:00,2012,1,1,2012-01-01,0.2,27.14,99.82,0.17,,,,8.41,10.95,49.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 04:30:00,2012,1,1,2012-01-01,0.4,27.01,99.82,0.21,,,,4.77,10.01,27.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 05:30:00,2012,1,1,2012-01-01,0.0,26.63,99.81,0.25,,,,4.31,3.63,32.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 06:30:00,2012,1,1,2012-01-01,0.0,26.53,99.82,0.18,,,,3.41,1.92,13.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 07:30:00,2012,1,1,2012-01-01,0.2,26.62,99.81,0.18,,,,4.56,3.8,9.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 08:30:00,2012,1,1,2012-01-01,0.0,26.68,99.81,0.22,,,,2.17,6.73,16.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 09:30:00,2012,1,1,2012-01-01,0.4,27.01,99.83,0.22,,,,0.92,6.39,11.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 10:30:00,2012,1,1,2012-01-01,0.2,27.54,99.83,0.2,,,,1.17,6.93,9.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 11:30:00,2012,1,1,2012-01-01,0.2,28.3,99.08,0.19,,,,4.61,5.87,18.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 12:30:00,2012,1,1,2012-01-01,0.0,30.85,89.86,0.13,,,,10.05,21.38,9.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 13:30:00,2012,1,1,2012-01-01,0.0,31.92,84.81,0.11,,,,8.71,28.82,9.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 14:30:00,2012,1,1,2012-01-01,1.2,31.56,89.56,0.29,,,,7.82,14.12,9.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 15:30:00,2012,1,1,2012-01-01,0.2,30.48,96.56,0.34,,,,4.97,28.01,10.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 16:30:00,2012,1,1,2012-01-01,1.8,29.64,99.57,0.51,,,,2.87,35.74,8.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 17:30:00,2012,1,1,2012-01-01,0.8,29.52,99.47,0.62,,,,1.73,26.79,24.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 18:30:00,2012,1,1,2012-01-01,0.4,29.62,98.59,0.41,,,,4.95,32.53,33.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 19:30:00,2012,1,1,2012-01-01,0.2,28.96,99.83,0.37,,,,14.79,24.45,28.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 20:30:00,2012,1,1,2012-01-01,0.0,29.08,99.75,0.44,,,,23.09,16.71,18.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 21:30:00,2012,1,1,2012-01-01,0.2,28.87,99.83,0.49,,,,14.08,7.54,27.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 22:30:00,2012,1,1,2012-01-01,0.2,28.47,99.82,0.79,,,,11.79,0.21,20.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-01 23:30:00,2012,1,1,2012-01-01,0.2,28.22,99.83,1.08,,,,4.23,0.1,23.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 00:30:00,2012,1,2,2012-01-02,0.6,27.72,99.83,0.61,,,,2.31,2.83,26.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 01:30:00,2012,1,2,2012-01-02,1.0,27.03,99.83,0.32,,,,1.16,16.25,21.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 02:30:00,2012,1,2,2012-01-02,14.6,26.27,99.83,0.2,,,,1.12,26.29,14.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 03:30:00,2012,1,2,2012-01-02,4.8,25.72,99.81,0.11,,,,1.07,31.75,11.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 04:30:00,2012,1,2,2012-01-02,1.4,25.5,99.81,0.08,,,,0.85,25.03,4.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 05:30:00,2012,1,2,2012-01-02,0.2,25.33,99.82,0.07,,,,1.76,12.82,3.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 06:30:00,2012,1,2,2012-01-02,0.2,25.08,99.82,0.04,,,,0.62,25.4,5.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 07:30:00,2012,1,2,2012-01-02,0.8,25.2,99.81,0.12,,,,2.33,4.38,8.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 08:30:00,2012,1,2,2012-01-02,3.0,24.73,99.81,0.2,,,,5.85,0.3,7.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 09:30:00,2012,1,2,2012-01-02,1.8,24.53,99.81,0.28,,,,5.05,0.42,6.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 10:30:00,2012,1,2,2012-01-02,2.0,24.5,99.81,0.4,,,,3.65,1.0,11.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 11:30:00,2012,1,2,2012-01-02,2.2,24.58,99.81,0.52,,,,2.03,2.31,11.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 12:30:00,2012,1,2,2012-01-02,10.6,24.48,99.82,0.5,,,,6.06,1.26,11.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 13:30:00,2012,1,2,2012-01-02,7.0,23.84,99.81,0.22,,,,2.37,10.53,13.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 14:30:00,2012,1,2,2012-01-02,2.0,24.13,99.81,0.18,,,,1.81,24.49,6.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 15:30:00,2012,1,2,2012-01-02,2.0,24.4,99.81,0.28,,,,3.96,9.44,2.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 16:30:00,2012,1,2,2012-01-02,0.4,25.1,99.76,0.28,,,,5.86,15.25,5.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 17:30:00,2012,1,2,2012-01-02,0.4,25.51,99.8,0.24,,,,6.78,9.19,21.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 18:30:00,2012,1,2,2012-01-02,1.0,25.24,99.81,0.26,,,,10.24,5.11,17.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 19:30:00,2012,1,2,2012-01-02,2.8,24.57,99.81,0.49,,,,5.13,1.94,24.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 20:30:00,2012,1,2,2012-01-02,6.4,23.88,99.82,0.55,,,,3.53,0.68,18.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 21:30:00,2012,1,2,2012-01-02,1.4,23.52,99.81,0.32,,,,3.64,0.27,15.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 22:30:00,2012,1,2,2012-01-02,1.6,23.47,99.81,0.31,,,,2.35,0.1,8.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-02 23:30:00,2012,1,2,2012-01-02,0.2,23.62,99.82,0.34,,,,5.05,0.07,7.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 00:30:00,2012,1,3,2012-01-03,0.0,23.77,99.81,0.26,,,,18.05,0.38,8.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 01:30:00,2012,1,3,2012-01-03,0.0,23.9,99.82,0.22,,,,8.53,0.95,19.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 02:30:00,2012,1,3,2012-01-03,0.0,23.85,99.82,0.17,,,,2.64,1.32,16.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 03:30:00,2012,1,3,2012-01-03,0.0,23.62,99.81,0.12,,,,2.9,4.8,9.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 04:30:00,2012,1,3,2012-01-03,0.0,23.08,99.81,0.11,,,,2.25,3.74,9.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 05:30:00,2012,1,3,2012-01-03,0.0,22.76,99.81,0.08,,,,3.25,3.11,9.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 06:30:00,2012,1,3,2012-01-03,0.0,22.18,99.81,0.06,,,,2.79,1.83,7.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 07:30:00,2012,1,3,2012-01-03,0.0,21.77,99.8,0.19,,,,4.0,0.02,10.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 08:30:00,2012,1,3,2012-01-03,0.0,21.93,99.8,0.43,,,,8.36,0.2,17.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 09:30:00,2012,1,3,2012-01-03,0.0,22.96,98.93,0.55,,,,9.8,1.38,26.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 10:30:00,2012,1,3,2012-01-03,0.0,25.37,88.82,0.29,,,,9.33,4.52,35.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 11:30:00,2012,1,3,2012-01-03,0.0,27.09,84.72,0.4,,,,23.74,5.82,24.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 12:30:00,2012,1,3,2012-01-03,0.0,28.32,79.38,0.32,,,,40.59,27.83,41.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 13:30:00,2012,1,3,2012-01-03,0.0,30.27,71.63,0.23,,,,23.42,24.78,52.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 14:30:00,2012,1,3,2012-01-03,0.0,31.72,66.04,0.13,,,,12.49,25.69,34.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 15:30:00,2012,1,3,2012-01-03,0.0,33.58,60.09,0.14,,,,4.95,49.02,27.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 16:30:00,2012,1,3,2012-01-03,0.0,34.16,58.41,0.12,,,,2.8,52.71,26.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 17:30:00,2012,1,3,2012-01-03,0.0,33.46,58.46,0.09,,,,1.76,49.18,16.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 18:30:00,2012,1,3,2012-01-03,0.0,33.09,59.23,0.08,,,,1.3,47.09,16.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-03 19:30:00,2012,1,3,2012-01-03,0.0,31.68,61.02,0.1,,,,1.12,31.29,23.0,,-22.89777109,-43.22174541
