data_formatada,descricao_aqi,aqi_final
2012-01-01,Moderate,3.945045530779073
2012-01-02,Moderate,4.018683178117952
2012-01-03,Moderate,4.023832193015664
2012-01-04,Moderate,4.289627392782077
2012-01-05,Moderate,4.365031603814994
2012-01-06,Moderate,4.041902021560442
2012-01-07,Moderate,4.260518699405858
2012-01-08,Moderate,4.141972954145047
2012-01-09,Moderate,4.035591127865455
2012-01-10,Moderate,3.971554887141374
2012-01-11,Good,3.509949476156545
2012-01-12,Moderate,4.3605578595164625
2012-01-13,Moderate,4.293423061167716
2012-01-14,Moderate,4.158178926568901
2012-01-15,Moderate,4.233126173455439
2012-01-16,Moderate,4.350943605602608
2012-01-17,Unhealthy,4.843715219120507
2012-01-18,Unhealthy for Sensitive Groups,4.393513451985956
2012-01-19,Moderate,4.1756577336311995
2012-01-20,Unhealthy for Sensitive Groups,4.393496770306749
2012-01-21,Moderate,4.317541455072446
2012-01-22,Unhealthy for Sensitive Groups,4.694834840877371
2012-01-23,Unhealthy for Sensitive Groups,4.57088169056152
2012-01-24,Moderate,4.002908826826204
2012-01-25,Moderate,4.141848097938036
2012-01-26,Moderate,4.217788084080246
2012-01-27,Moderate,3.94452983747894
2012-01-28,Moderate,3.9992510787200803
2012-01-29,Moderate,3.9074430372338274
2012-01-30,Moderate,4.099261809450537
2012-01-31,Unhealthy for Sensitive Groups,4.427994291907957
2012-02-01,Moderate,4.11946691497487
2012-02-02,Moderate,3.875004824740263
2012-02-03,Good,3.7541627176032373
2012-02-04,Moderate,4.216687200492038
2012-02-05,Good,3.739754640351414
2012-02-06,Unhealthy for Sensitive Groups,4.3919774138528
2012-02-07,Unhealthy,4.85388393753841
2012-02-08,Unhealthy,4.756230617296753
2012-02-09,Very Unhealthy,5.104882910923622
2012-02-10,Unhealthy,4.773099771118626
2012-02-11,Moderate,4.357921355802144
2012-02-12,Moderate,4.002762805264641
2012-02-13,Moderate,4.1932697554422
2012-02-14,Moderate,3.9924812809372394
2012-02-15,Good,3.730854312875646
2012-02-16,Moderate,4.006696999233716
2012-02-17,Moderate,4.110845387650312
2012-02-18,Moderate,4.065563158297111
2012-02-19,Good,3.663364419165577
2012-02-20,Moderate,4.114637577507802
2012-02-21,Good,3.6453476888571825
2012-02-22,Moderate,4.2671549648639395
2012-02-23,Moderate,3.8494157783718315
2012-02-24,Moderate,4.313815531798109
2012-02-25,Unhealthy,4.970760098486472
2012-02-26,Moderate,4.09176289725937
2012-02-27,Moderate,4.242871644477722
2012-02-28,Unhealthy,4.7660371631209415
2012-02-29,Unhealthy for Sensitive Groups,4.412850400472637
2012-03-01,Unhealthy for Sensitive Groups,4.519986800767386
2012-03-02,Unhealthy,4.7560486810355815
2012-03-03,Moderate,4.157933721367006
2012-03-04,Good,3.7278677729457335
2012-03-05,Moderate,4.23064469828291
2012-03-06,Moderate,3.8295388992496524
2012-03-07,Moderate,3.956300474766553
2012-03-08,Moderate,3.8996073720068654
2012-03-09,Unhealthy for Sensitive Groups,4.43987935034978
2012-03-10,Moderate,4.269319988054472
2012-03-11,Unhealthy for Sensitive Groups,4.437246929582849
2012-03-12,Unhealthy for Sensitive Groups,4.6817169741847176
2012-03-13,Moderate,4.267913326399286
2012-03-14,Unhealthy for Sensitive Groups,4.395046816839402
2012-03-15,Unhealthy for Sensitive Groups,4.414089795120015
2012-03-16,Moderate,4.281240400849112
2012-03-17,Moderate,4.006987730059552
2012-03-18,Good,3.718314524258906
2012-03-19,Moderate,4.238068337268412
2012-03-20,Moderate,4.128132277824438
2012-03-21,Unhealthy for Sensitive Groups,4.419143431694101
2012-03-22,Unhealthy for Sensitive Groups,4.457739270935306
2012-03-23,Unhealthy for Sensitive Groups,4.395046816839402
2012-03-24,Moderate,4.300130901404975
2012-03-25,Moderate,4.303777814984527
2012-03-26,Unhealthy for Sensitive Groups,4.45739803201096
2012-03-27,Unhealthy for Sensitive Groups,4.447946030742796
2012-03-28,Moderate,4.361921838350453
2012-03-29,Moderate,4.1775787075097535
2012-03-30,Moderate,4.251959750988271
2012-03-31,Moderate,4.17385302952259
2012-04-01,Moderate,4.031641616768657
2012-04-02,Moderate,4.319647662323459
2012-04-03,Moderate,4.203891017768141
2012-04-04,Moderate,4.3461072494086
2012-04-05,Unhealthy for Sensitive Groups,4.444316139093198
2012-04-06,Unhealthy for Sensitive Groups,4.434037007004772
2012-04-07,Moderate,3.936543019717935
2012-04-08,Moderate,4.214533619739899
2012-04-09,Moderate,4.199843473512627
2012-04-10,Moderate,4.218818936877194
2012-04-11,Moderate,4.2874056974393735
2012-04-12,Moderate,4.253392008847839
2012-04-13,Moderate,4.186053124175604
2012-04-14,Unhealthy,4.89785806174898
2012-04-15,Unhealthy for Sensitive Groups,4.4757483623930945
2012-04-16,Moderate,4.1420977927716045
2012-04-17,Moderate,4.115616884512434
2012-04-18,Moderate,4.162703027898535
2012-04-19,Moderate,4.196445320281884
2012-04-20,Unhealthy for Sensitive Groups,4.422668639494776
2012-04-21,Unhealthy for Sensitive Groups,4.39840421913118
2012-04-22,Moderate,4.206252638200575
2012-04-23,Moderate,3.8673878312586845
2012-04-24,Moderate,4.093478760687078
2012-04-25,Unhealthy for Sensitive Groups,4.412262709416511
2012-04-26,Moderate,4.333228092549188
2012-04-27,Moderate,4.280173056658001
2012-04-28,Moderate,4.152275196439098
2012-04-29,Moderate,4.192680436032487
2012-04-30,Moderate,3.9161766394635693
