data_formatada,descricao_aqi,aqi_final
2012-01-01,Moderate,4.050293524274647
2012-01-02,Moderate,4.1298477392980395
2012-01-03,Moderate,4.1354102762732445
2012-01-04,Moderate,4.422597556030542
2012-01-05,Moderate,4.5041122989901545
2012-01-06,Moderate,4.154931254392437
2012-01-07,Moderate,4.391136841708802
2012-01-08,Moderate,4.263041812795179
2012-01-09,Moderate,4.148113551768642
2012-01-10,Moderate,4.078933627612766
2012-01-11,Good,3.5796907300560616
2012-01-12,Moderate,4.499275222632271
2012-01-13,Moderate,4.426700178854748
2012-01-14,Moderate,4.28055104661439
2012-01-15,Moderate,4.361533937961735
2012-01-16,Moderate,4.488880512103846
2012-01-17,Unhealthy,5.022521029080874
2012-01-18,Unhealthy for Sensitive Groups,4.534909857333084
2012-01-19,Moderate,4.299436110749907
2012-01-20,Unhealthy for Sensitive Groups,4.534891818014366
2012-01-21,Moderate,4.452770514230753
2012-01-22,Unhealthy for Sensitive Groups,4.86107374414041
2012-01-23,Unhealthy for Sensitive Groups,4.726816083881873
2012-01-24,Moderate,4.112806449441953
2012-01-25,Moderate,4.262906917831542
2012-01-26,Moderate,4.344959312307087
2012-01-27,Moderate,4.049736368459515
2012-01-28,Moderate,4.108854899880342
2012-01-29,Moderate,4.00966615367441
2012-01-30,Moderate,4.21689805321264
2012-01-31,Unhealthy for Sensitive Groups,4.572200447000845
2012-02-01,Moderate,4.238726668276895
2012-02-02,Moderate,3.9746153343370305
2012-02-03,Good,3.844000829042129
2012-02-04,Moderate,4.343769706203163
2012-02-05,Good,3.828422056917247
2012-02-06,Unhealthy for Sensitive Groups,4.53324881536617
2012-02-07,Unhealthy,5.033556384016221
2012-02-08,Unhealthy,4.92762513353636
2012-02-09,Very Unhealthy,5.30632099787342
2012-02-10,Unhealthy,4.945917283002919
2012-02-11,Moderate,4.496424646995533
2012-02-12,Moderate,4.112648699188213
2012-02-13,Moderate,4.318465865847226
2012-02-14,Moderate,4.101541300799478
2012-02-15,Good,3.818797835735514
2012-02-16,Moderate,4.11689888854476
2012-02-17,Moderate,4.229412324072938
2012-02-18,Moderate,4.180492589608617
2012-02-19,Good,3.7457987564641426
2012-02-20,Moderate,4.2335092376135055
2012-02-21,Good,3.7263046571418106
2012-02-22,Moderate,4.398309026432802
2012-02-23,Moderate,3.946962710382526
