data_formatada,aqi_final,descricao_aqi
2012-01-01,61.28263624841571,Moderate
2012-01-02,66.53086956521739,Moderate
2012-01-03,66.91434782608695,Moderate
2012-01-04,90.06152173913044,Moderate
2012-01-05,97.99739130434784,Moderate
2012-01-06,68.27782608695652,Moderate
2012-01-07,87.17478260869565,Moderate
2012-01-08,76.35217391304347,Moderate
2012-01-09,67.79847826086956,Moderate
2012-01-10,63.122173913043476,Moderate
2012-01-11,37.73148148148148,Good
2012-01-12,97.50739130434783,Moderate
2012-01-13,90.445,Moderate
2012-01-14,77.74760869565218,Moderate
2012-01-15,84.54369565217391,Moderate
2012-01-16,96.46273593750001,Moderate
2012-01-17,167.88947594572366,Unhealthy
2012-01-18,101.17594594594594,Unhealthy for Sensitive Groups
2012-01-19,79.28152173913043,Moderate
2012-01-20,101.17405405405405,Unhealthy for Sensitive Groups
2012-01-21,92.92058463541659,Moderate
2012-01-22,141.93960937499997,Unhealthy for Sensitive Groups
2012-01-23,123.46298632812494,Unhealthy for Sensitive Groups
2012-01-24,65.36978260869564,Moderate
2012-01-25,76.34152173913044,Moderate
2012-01-26,83.10565217391304,Moderate
2012-01-27,61.24739130434782,Moderate
2012-01-28,65.10347826086957,Moderate
2012-01-29,58.76543478260869,Moderate
2012-01-30,72.79434782608695,Moderate
2012-01-31,105.16405405405405,Unhealthy for Sensitive Groups
2012-02-01,74.45608695652174,Moderate
2012-02-02,56.677608695652175,Moderate
2012-02-03,49.534360532407405,Good
2012-02-04,83.00339296874995,Moderate
2012-02-05,48.74528301886793,Good
2012-02-06,101.00189189189189,Unhealthy for Sensitive Groups
2012-02-07,169.8287537006579,Unhealthy
2012-02-08,152.1075974506579,Unhealthy
2012-02-09,225.65086286569147,Very Unhealthy
2012-02-10,155.0288295641448,Unhealthy
2012-02-11,97.21978260869565,Moderate
2012-02-12,65.35913043478261,Moderate
2012-02-13,80.85804347826087,Moderate
2012-02-14,64.61347826086957,Moderate
2012-02-15,48.264150943396224,Good
2012-02-16,65.64673913043478,Moderate
2012-02-17,73.74239130434782,Moderate
2012-02-18,70.1056359375,Moderate
2012-02-19,44.767223668981494,Good
2012-02-20,74.05545703125,Moderate
2012-02-21,43.87735849056604,Good
2012-02-22,87.8245652173913,Moderate
2012-02-23,55.083333333333336,Moderate
2012-02-24,92.53371432291667,Moderate
2012-02-25,193.82423704769735,Unhealthy
2012-02-26,72.18717391304348,Moderate
2012-02-27,85.47043478260869,Moderate
2012-02-28,153.79892351973686,Unhealthy
2012-02-29,103.39324324324325,Unhealthy for Sensitive Groups
2012-03-01,116.60138671874999,Unhealthy for Sensitive Groups
2012-03-02,152.07639823190794,Unhealthy
2012-03-03,77.7263043478261,Moderate
2012-03-04,48.10377358490566,Good
2012-03-05,84.30934782608696,Moderate
2012-03-06,53.87608695652174,Moderate
2012-03-07,62.056956521739124,Moderate
2012-03-08,58.25413043478261,Moderate
2012-03-09,106.57529492187501,Unhealthy for Sensitive Groups
2012-03-10,88.03760869565218,Moderate
2012-03-11,106.26107421875007,Unhealthy for Sensitive Groups
2012-03-12,139.85817578125,Unhealthy for Sensitive Groups
2012-03-13,87.89913043478262,Moderate
2012-03-14,101.35,Unhealthy for Sensitive Groups
2012-03-15,103.53702702702702,Unhealthy for Sensitive Groups
2012-03-16,89.22,Moderate
2012-03-17,65.66804347826087,Moderate
2012-03-18,47.59433962264151,Good
2012-03-19,85.01239130434783,Moderate
2012-03-20,75.1804347826087,Moderate
2012-03-21,104.1254054054054,Unhealthy for Sensitive Groups
2012-03-22,108.73216216216217,Unhealthy for Sensitive Groups
2012-03-23,101.35,Unhealthy for Sensitive Groups
2012-03-24,91.12673913043479,Moderate
2012-03-25,91.49956521739131,Moderate
2012-03-26,108.69054054054054,Unhealthy for Sensitive Groups
2012-03-27,107.54405405405406,Unhealthy for Sensitive Groups
