nome_estacao,data,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,data_formatada,ano,mes
ESTAÇÃO CAMPO GRANDE,2012-01-01 03:30:00,0.2,25.12,94.33,0.69,1.59,28.79,30.38,3.83,37.67,27.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 04:30:00,0.0,25.02,94.65,0.58,1.46,25.73,27.19,1.63,41.29,34.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 05:30:00,0.2,24.95,92.03,0.38,1.05,18.15,19.2,0.38,48.89,41.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 06:30:00,0.4,24.82,91.98,0.27,0.39,12.09,12.48,0.18,57.66,16.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 07:30:00,0.0,24.86,92.73,0.3,0.47,15.11,15.58,0.04,49.09,6.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 08:30:00,0.0,24.9,93.09,0.32,1.82,20.82,22.64,0.1,38.19,6.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 09:30:00,0.0,25.04,92.23,0.26,1.63,17.04,18.67,0.14,41.28,7.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 10:30:00,0.2,25.32,91.45,0.28,2.55,20.61,23.16,0.08,35.87,8.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 11:30:00,0.0,26.66,86.74,0.3,6.02,24.88,30.9,0.29,36.01,8.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 12:30:00,0.0,27.48,84.34,0.41,6.0,30.04,36.03,0.7,41.51,8.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 13:30:00,1.8,27.25,89.05,0.5,5.93,28.08,34.01,1.25,44.23,8.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 14:30:00,0.8,27.79,83.73,0.53,7.14,24.44,31.58,1.45,36.94,10.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 15:30:00,2.2,27.32,85.96,0.65,6.95,20.34,27.31,0.33,28.74,11.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 16:30:00,1.0,26.57,88.83,0.52,4.89,17.98,22.86,0.18,32.2,12.0,,2012-01-01,2012,1
ESTAÇÃO CAMPO GRANDE,2012-01-01 17:30:00,0.2,27.31,85.52,0.67,3.96,18.68,22.64,0.2,35.81,11.0,,2012-01-01,2012,1
