nome_estacao,data,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,data_formatada,ano,mes
ESTAÇÃO COPACABANA,2012-01-01 00:30:00,1.8,24.2,93.72,0.25,,,,3.0,14.37,43.99,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 01:30:00,1.6,24.2,93.94,0.67,,,,3.94,10.43,47.57,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 02:30:00,1.0,24.0,94.25,0.41,,,,3.0700000000000003,9.73,94.14,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 03:30:00,0.2,24.14,93.01,0.41,,,,2.2,19.29,69.81,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 04:30:00,0.4,24.11,92.03,0.2,,,,1.25,27.41,58.26,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 05:30:00,0.0,24.12,91.36,0.45,,,,1.29,25.8,45.15,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 06:30:00,0.2,24.12,91.67,0.29,,,,1.5,9.18,47.37,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 07:30:00,0.0,23.97,92.03,0.29,,,,1.78,8.9,34.68,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 08:30:00,0.0,23.73,93.32,0.12,,,,1.35,8.05,42.38,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 09:30:00,0.2,24.13,92.5,0.21,,,,2.28,3.62,32.49,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 10:30:00,0.2,24.52,91.58,0.26,,,,2.7,4.26,36.92,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 11:30:00,0.4,24.83,91.33,0.18,,,,2.5,8.36,37.16,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 12:30:00,0.0,26.84,82.54,0.21,,,,3.91,5.88,33.32,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 13:30:00,0.0,27.38,76.53,0.25,,,,3.33,10.43,44.87,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 14:30:00,1.4,26.61,80.97,0.54,,,,4.21,9.06,42.13,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 15:30:00,0.8,25.8,87.53,0.72,,,,4.39,13.13,46.92,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 16:30:00,1.0,25.62,87.7,0.87,,,,4.21,10.71,43.21,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 17:30:00,0.4,25.85,84.88,0.82,,,,3.23,9.67,44.18,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 18:30:00,0.0,26.16,87.59,1.13,,,,6.51,6.13,44.73,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 19:30:00,0.2,25.5,89.66,0.65,,,,9.43,11.37,56.87,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 20:30:00,0.2,25.61,87.68,0.83,,,,8.51,9.48,49.04,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 21:30:00,0.0,25.69,88.25,0.8,,,,6.39,4.17,48.71,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 22:30:00,0.2,25.25,91.81,0.92,,,,4.9,1.25,54.51,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-01 23:30:00,0.2,24.92,94.91,0.86,,,,4.39,0.39,50.46,,2012-01-01,2012,1
ESTAÇÃO COPACABANA,2012-01-02 00:30:00,0.6,24.12,94.2,0.35,,,,2.66,8.65,52.37,,2012-01-02,2012,1
ESTAÇÃO COPACABANA,2012-01-02 01:30:00,0.4,23.73,93.66,0.25,,,,1.51,11.95,39.23,,2012-01-02,2012,1
