nome_estacao,data,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,data_formatada,ano,mes
ESTAÇÃO IRAJÁ,2012-01-01 03:30:00,0.8,24.84,97.12,0.4,0.23,20.09,20.2,2.55,25.03,89.0,85.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 04:30:00,0.0,24.68,96.0,0.35,0.68,18.91,19.6,0.45,22.95,33.0,32.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 05:30:00,0.0,24.56,96.39,0.34,0.39,17.99,18.33,0.11,22.31,19.0,14.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 06:30:00,0.0,24.65,96.87,0.37,0.44,22.49,22.93,0.7,17.98,12.0,12.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 07:30:00,0.0,24.66,96.32,0.32,0.24,21.28,21.52,0.79,18.88,10.0,10.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 08:30:00,0.0,24.59,96.52,0.29,1.06,29.4,30.46,0.13,14.0,10.0,8.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 09:30:00,1.2,24.79,96.33,0.3,1.94,33.47,35.41,0.35,10.58,10.0,6.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 10:30:00,0.4,25.21,95.62,0.41,6.14,42.47,48.61,0.93,12.04,8.0,3.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 11:30:00,0.0,26.21,92.04,0.39,6.15,36.12,42.27,1.37,13.76,8.0,3.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 12:30:00,0.0,27.78,84.94,0.43,7.1,24.64,31.74,1.94,16.13,6.0,4.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 13:30:00,0.0,28.57,80.96,0.35,4.46,23.85,28.3,2.27,20.34,5.0,2.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 14:30:00,0.4,28.94,79.93,0.6,4.24,31.63,35.87,4.86,24.41,6.0,2.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 15:30:00,4.0,27.88,88.55,0.85,11.24,48.36,59.6,3.62,16.12,17.0,6.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 16:30:00,2.4,26.9,92.77,1.08,8.25,43.34,51.59,0.36,14.48,22.0,19.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 17:30:00,0.8,26.92,90.38,1.13,10.7,38.17,48.88,0.03,13.2,25.0,19.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 18:30:00,0.4,26.88,92.02,0.88,5.95,33.78,39.72,1.01,19.05,28.0,19.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 19:30:00,0.0,26.87,91.91,0.64,1.9,30.3,32.2,3.14,32.39,36.0,21.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 20:30:00,0.0,26.59,90.85,0.52,1.48,27.09,28.57,1.19,21.13,20.0,11.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 21:30:00,0.0,26.41,93.62,0.69,3.25,38.79,42.02,1.76,10.07,10.0,9.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 22:30:00,0.0,26.11,96.06,0.74,3.17,48.54,51.7,1.18,1.83,12.0,10.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-01 23:30:00,0.4,26.04,95.06,1.05,13.61,56.62,70.23,1.19,0.47,15.0,12.0,2012-01-01,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 00:30:00,0.4,24.88,95.82,0.55,1.81,29.24,31.05,0.07,16.9,32.0,16.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 01:30:00,9.2,24.39,96.29,0.41,1.52,27.86,29.38,0.0,19.58,26.4,12.8,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 02:30:00,32.0,23.56,100.0,0.38,1.21,25.37,26.58,0.0,20.86,20.8,9.6,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 03:30:00,2.4,23.5,100.0,0.37,0.92,24.79,25.7,0.0,19.37,15.200000000000003,6.399999999999999,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 04:30:00,2.4,23.27,100.0,0.25,0.27,12.91,13.18,0.74,17.05,9.600000000000001,3.1999999999999993,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 05:30:00,0.8,23.05,99.86,0.18,0.62,11.69,12.31,0.62,15.45,4.0,0.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 06:30:00,1.2,23.07,99.52,0.21,1.47,19.82,21.29,0.83,12.48,10.0,0.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 07:30:00,5.6,23.0,99.17,0.27,8.79,35.35,44.13,0.91,7.46,19.0,0.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 08:30:00,3.2,22.76,99.83,0.42,25.88,46.57,72.45,0.93,2.96,14.0,0.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 09:30:00,4.4,22.84,99.98,0.51,41.94,54.02,95.97,1.27,0.58,12.0,1.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 10:30:00,5.2,22.72,99.79,0.57,52.16,56.31,108.46,1.98,2.15,11.0,7.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 11:30:00,6.0,22.63,98.45,0.49,39.74,54.78,94.5,1.85,4.22,16.0,6.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 12:30:00,10.4,22.32,97.55,0.48,16.3,41.06,57.34,1.24,10.37,10.0,0.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 13:30:00,15.2,22.47,98.39,0.6,26.29,49.62,75.9,1.37,6.84,9.0,0.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 14:30:00,4.4,22.59,96.23,0.69,29.43,51.67,81.1,1.45,10.44,6.0,6.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 15:30:00,4.0,22.91,94.59,0.67,27.82,52.58,80.34,1.71,10.63,5.0,3.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 16:30:00,0.0,23.62,90.75,0.47,14.24,38.77,53.0,1.3,15.04,6.0,4.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 17:30:00,0.0,23.87,90.55,0.53,15.33,43.81,59.13,1.49,13.42,8.0,5.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 18:30:00,4.4,23.21,94.47,0.79,21.48,58.52,80.01,1.86,6.98,10.0,3.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 19:30:00,6.4,22.64,97.72,0.63,23.5,67.99,91.5,1.76,2.22,17.0,6.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 20:30:00,6.8,22.27,97.93,0.49,15.82,50.92,66.76,1.35,5.84,10.0,7.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 21:30:00,1.6,22.18,98.3,0.78,60.97,68.58,129.57,2.04,0.0,10.0,8.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 22:30:00,0.4,22.09,98.41,0.67,40.45,68.54,108.99,2.25,0.0,11.0,9.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-02 23:30:00,0.4,22.01,98.31,0.6,30.67,65.33,96.0,6.94,0.0,10.0,9.0,2012-01-02,2012,1
ESTAÇÃO IRAJÁ,2012-01-03 00:30:00,0.0,22.02,97.58,0.53,26.14,59.74,85.89,3.59,0.02,11.0,6.0,2012-01-03,2012,1
