nome_estacao,data,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,data_formatada,ano,mes
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 03:30:00,0.8,24.07,99.56,,,,,,24.52,74.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 04:30:00,1.2,24.07,99.4,,,,,,28.16,34.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 05:30:00,0.4,24.17,96.38,,,,,,42.38,41.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 06:30:00,0.6,24.03,94.49,,,,,,45.37,17.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 07:30:00,0.2,23.88,97.84,,,,,,29.45,22.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 08:30:00,0.0,23.97,98.07,,,,,,19.38,20.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 09:30:00,0.0,24.33,96.11,,,,,,27.76,13.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 10:30:00,0.2,24.72,94.99,,,,,,25.89,13.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 11:30:00,0.0,25.18,92.72,,,,,,38.78,18.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 12:30:00,0.4,25.33,91.6,,,,,,42.73,21.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 13:30:00,0.4,26.17,92.59,,,,,,37.67,10.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 14:30:00,0.2,27.67,83.68,,,,,,42.44,11.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 15:30:00,0.4,27.28,82.0,,,,,,38.15,8.0,,2012-01-01,2012,1
ESTAÇÃO PEDRA DE GUARATIBA,2012-01-01 16:30:00,0.2,26.32,87.74,,,,,,35.18,4.0,,2012-01-01,2012,1
