nome_estacao,data,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,data_formatada,ano,mes
ESTAÇÃO TIJUCA,2012-01-01 00:30:00,1.2,21.95,98.41,0.08,,,,0.07,19.07,26.62,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 01:30:00,0.4,21.66,98.41,0.05,,,,0.0,26.42,23.37,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 02:30:00,0.6,21.44,98.41,0.06,,,,0.755,27.34,18.41,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 03:30:00,0.0,21.47,98.4,0.06,,,,1.51,24.55,35.65,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 04:30:00,0.2,21.36,98.41,0.08,,,,1.89,19.0,39.69,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 05:30:00,0.0,21.2,98.41,0.07,,,,1.7,18.05,28.84,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 06:30:00,0.0,21.18,98.41,0.12,,,,1.55,12.25,12.28,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 07:30:00,0.2,21.16,98.4,0.05,,,,1.5,13.14,23.81,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 08:30:00,0.0,21.21,98.41,0.06,,,,0.94,13.55,14.67,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 09:30:00,0.2,21.46,98.41,0.05,,,,1.45,9.6,8.51,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 10:30:00,0.2,21.95,98.43,0.03,,,,1.38,8.88,16.18,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 11:30:00,0.2,23.18,97.07,0.04,,,,2.05,8.25,14.75,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 12:30:00,0.0,28.5,78.13,0.02,,,,2.65,15.61,14.95,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 13:30:00,0.0,27.58,80.5,0.03,,,,3.61,17.9,15.67,,2012-01-01,2012,1
ESTAÇÃO TIJUCA,2012-01-01 14:30:00,1.0,26.51,86.17,0.08,,,,3.66,16.24,11.04,,2012-01-01,2012,1
