,count,unique,top,freq,mean,min,25%,50%,75%,max,std
nome_estacao,113973,1,ESTAÇÃO CAMPO GRANDE,113973,,,,,,,
codnum,113973.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,0.0
data,113973,,,,2018-07-02 13:30:00,2012-01-01 03:30:00,2015-04-02 08:30:00,2018-07-02 13:30:00,2021-10-01 18:30:00,2024-12-31 23:30:00,
ano,113973.0,,,,2018.0001579321417,2012.0,2015.0,2018.0,2021.0,2024.0,3.7422717158866754
mes,113973.0,,,,6.522360559079782,1.0,4.0,7.0,10.0,12.0,3.4488433233689637
dia,113973.0,,,,15.732120765444447,1.0,8.0,16.0,23.0,31.0,8.800806929093568
data_dia,113973,4749,2024-12-31,24,,,,,,,
chuva,110503.0,,,,0.1369275042306544,0.0,0.0,0.0,0.0,66.4,1.1666401952385403
temp,108111.0,,,,27.419728566010857,14.02,24.07,26.75,30.2,45.23,4.717204731014046
ur,87960.0,,,,75.40176159618008,0.76,59.23,78.38,97.13,100.0,20.693048584365464
pres,110989.0,,,,1014.0207129535358,924.28,1010.63,1013.63,1017.17,1031.35,4.7817643149119435
rs,110111.0,,,,150.07026650380072,0.0,0.0,4.67,248.67,1864.67,228.22416534518743
dir_vento,98293.0,,,,142.27308353595882,0.0,72.0,132.33,221.0,357.33,75.69414575546243
vel_vento,98336.0,,,,1.6228194150667101,0.1,0.87,1.4,2.2,6.98,0.9456073690124419
co,76007.0,,,,0.3753029984080413,0.0,0.21,0.33,0.48,2.85,0.24630126538264852
no,99344.0,,,,18.747376187791915,0.0,3.79,8.24,20.432500000000005,597.69,28.835131601631016
no2,99339.0,,,,30.912437461621316,0.0,19.17,28.05,39.44,161.22,16.33975036568952
nox,99328.0,,,,49.64843795304446,0.03,24.43,38.17,61.12,685.74,39.46867690390235
so2,93525.0,,,,4.094613098102112,0.0,0.79,3.08,6.15,199.23,4.601746532826476
o3,107271.0,,,,36.20077504637786,0.0,11.7,30.5,53.14,307.76,30.001011872250302
pm10,107196.0,,,,33.10450016791671,0.0,19.0,28.0,41.0,338.0,21.285120439710894
pm2_5,0.0,,,,,,,,,,
lat,113973.0,,,,-22.88625468,-22.88625468,-22.88625468,-22.88625468,-22.88625468,-22.88625468,0.0
lon,113973.0,,,,-43.55652197,-43.55652197,-43.55652197,-43.55652197,-43.55652197,-43.55652197,0.0
