data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,temp_min,temp_max,AQI,Qualidade_do_Ar
2012-01-01,ESTAÇÃO BANGU,2,2012,1,1,10.8,26.088,89.141,0.504,2.617,12.113,14.73,0.534,28.365,21.786,,-22.888,-43.471,24.49,27.97,17.0,N1 - Boa
2012-01-01,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,1,32.8,25.299,92.983,,,,,,37.055,20.143,,-23.004,-43.629,23.13,27.67,17.0,N1 - Boa
2012-01-01,ESTAÇÃO IRAJÁ,5,2012,1,1,10.8,26.194,92.393,0.578,4.41,32.73,37.131,1.425,16.531,19.095,14.619,-22.832,-43.327,24.56,28.94,17.0,N1 - Boa
2012-01-01,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,1,8.8,28.65,97.191,0.324,,,,6.038,15.082,19.833,,-22.898,-43.222,26.53,31.92,17.0,N1 - Boa
2012-01-01,ESTAÇÃO TIJUCA,8,2012,1,1,5.2,23.226,95.108,0.124,,,,3.373,14.33,22.375,,-22.925,-43.233,21.16,28.5,17.0,N1 - Boa
2012-01-01,ESTAÇÃO CENTRO,3,2012,1,1,12.4,,,,,,,,,,,-22.908,-43.178,,,17.0,N1 - Boa
2012-01-01,ESTAÇÃO COPACABANA,1,2012,1,1,8.2,25.179,88.649,0.478,,,,3.611,10.69,46.625,,-22.965,-43.18,23.73,27.38,17.0,N1 - Boa
2012-01-01,ESTAÇÃO CAMPO GRANDE,4,2012,1,1,9.0,26.206,89.69,0.547,3.813,25.716,29.528,1.059,39.362,17.619,,-22.886,-43.557,24.59,27.79,17.0,N1 - Boa
2012-01-02,ESTAÇÃO CAMPO GRANDE,4,2012,1,2,31.8,23.481,92.24,0.296,12.927,25.966,38.922,0.76,31.983,7.771,,-22.886,-43.557,22.19,24.79,13.0,N1 - Boa
2012-01-02,ESTAÇÃO IRAJÁ,5,2012,1,2,126.8,22.994,97.58,0.5,20.776,44.004,64.777,1.415,9.202,12.583,5.083,-22.832,-43.327,22.01,24.88,13.0,N1 - Boa
2012-01-02,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,2,68.4,24.915,99.812,0.288,,,,3.524,9.463,11.417,,-22.898,-43.222,23.47,27.72,13.0,N1 - Boa
2012-01-02,ESTAÇÃO TIJUCA,8,2012,1,2,19.0,20.066,98.163,0.264,,,,2.998,10.927,15.708,,-22.925,-43.233,18.61,21.59,13.0,N1 - Boa
2012-01-02,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,2,27.4,23.155,93.573,,,,,,47.929,8.667,,-23.004,-43.629,22.33,24.73,13.0,N1 - Boa
2012-01-02,ESTAÇÃO BANGU,2,2012,1,2,63.8,22.874,94.992,0.234,4.322,11.511,15.828,0.312,23.875,5.708,,-22.888,-43.471,22.0,24.02,13.0,N1 - Boa
2012-01-02,ESTAÇÃO COPACABANA,1,2012,1,2,42.8,22.369,92.76,0.25,,,,1.754,7.576,35.25,,-22.965,-43.18,21.08,24.12,13.0,N1 - Boa
2012-01-02,ESTAÇÃO CENTRO,3,2012,1,2,68.4,,,,,,,,,,,-22.908,-43.178,,,13.0,N1 - Boa
2012-01-03,ESTAÇÃO COPACABANA,1,2012,1,3,0.0,24.978,73.03,0.203,,,,4.826,10.304,45.75,,-22.965,-43.18,20.79,32.95,19.0,N1 - Boa
2012-01-03,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,3,0.0,27.188,81.735,0.188,,,,7.828,15.927,21.375,,-22.898,-43.222,21.77,34.16,19.0,N1 - Boa
2012-01-03,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,3,0.0,24.197,82.005,,,,,,16.141,18.176,,-23.004,-43.629,20.57,27.75,19.0,N1 - Boa
2012-01-03,ESTAÇÃO IRAJÁ,5,2012,1,3,0.0,25.375,74.668,0.34,20.288,46.135,66.426,2.96,14.735,17.083,4.208,-22.832,-43.327,20.98,30.87,19.0,N1 - Boa
